APROVAR,sugestao,motivo,predecessor_name,successor_name,name_similarity,gap_quarters,clean_handoff,predecessor_last_q,successor_first_q,predecessor_cik,successor_cik
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Lehman Financial Resources, Inc.",Lehman & Derafelo Financial Resources LLC,0.75,1,True,2018Q3,2018Q4,1589661,1767952
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),M&R CAPITAL MANAGEMENT INC,M & L Capital Management Ltd,0.75,1,True,2024Q3,2024Q4,1057395,1927627
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),PACIFIC HEIGHTS ASSET MANAGEMENT LLC,"Pacific Asset Management, LLC",0.75,1,True,2024Q3,2024Q4,1323414,2054012
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),Azimuth Capital Management LLC,Azimuth Capital Investment Management LLC,0.75,1,True,2022Q1,2022Q2,1352512,1942364
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Douglas C. Lane & Associates, Inc.","Douglas Lane & Associates, LLC",0.75,1,True,2015Q4,2016Q1,1004248,1672594
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Capstone Financial Group, Inc.","Capstone Triton Financial Group, LLC",0.75,1,True,2020Q3,2020Q4,1808129,1811805
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),CAPITAL GROWTH MANAGEMENT LP,First Growth Capital Management LLC,0.75,1,True,2020Q3,2020Q4,60335,1830236
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"H Capital III, L.P.","H Capital III GP, L.P.",0.75,1,True,2021Q4,2022Q1,1651808,1912542
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"H Capital II, L.P.","H Capital II GP, L.P.",0.75,1,True,2021Q4,2022Q1,1627836,1912547
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),VERTEX ONE ASSET MANAGEMENT INC.,"Asset Management One Co.,Ltd.",0.75,2,False,2019Q4,2020Q2,1389610,1068855
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),BTG Pactual Global Asset Management Ltd,BTG Pactual Asset Management US LLC,0.667,1,True,2024Q1,2024Q2,1567992,1569579
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Virtus Investment Advisers, Inc.","VIRTUS ADVISERS, LLC",0.667,1,True,2024Q4,2025Q1,19481,1587281
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"S.A.C. GLOBAL INVESTORS, LLP",COMGEST GLOBAL INVESTORS S.A.S.,0.667,1,True,2014Q3,2014Q4,1317777,1574947
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),GREEN SQUARE CAPITAL LLC,"Capital Square, LLC",0.667,1,True,2019Q3,2019Q4,1166308,1798736
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),Credential Securities Inc.,Credential Qtrade Securities Inc.,0.667,1,True,2018Q2,2018Q3,2077904,2077908
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Union Square Opportunity GP, L.L.C.","Union Square GP 2008, L.L.C.",0.667,1,True,2016Q3,2016Q4,1633002,1677323
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Union Square GP 2004, L.L.C.","Union Square GP 2008, L.L.C.",0.667,1,True,2016Q3,2016Q4,1640023,1677323
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"PINEBRIDGE INVESTMENTS, L.P.",PINEBRIDGE INVESTMENTS ASIA LTD,0.667,1,True,2025Q3,2025Q4,1531721,2111095
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Virtus Fund Advisers, LLC","VIRTUS ADVISERS, LLC",0.667,1,True,2024Q4,2025Q1,1319111,1587281
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),"Cornerstone Advisors, Inc.","Cornerstone Wealth Advisors, Inc.",0.667,2,False,2020Q3,2021Q1,1532520,1862176
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Blenheim Capital Management, L.L.C.","Yost Capital Management, L.L.C.",0.6,1,True,2014Q3,2014Q4,1389080,1489859
S,DUVIDA,adjudicado: nucleo do nome continua (rename/reorganizacao),FOSTER DYKEMA CABOT & CO INC/MA,"FOSTER DYKEMA CABOT & PARTNERS, LLC",0.6,1,True,2023Q3,2023Q4,1037558,2011882
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"STRAUS CAPITAL MANAGEMENT, L.L.C.","LANDSCAPE CAPITAL MANAGEMENT, L.L.C.",0.6,1,True,2013Q3,2013Q4,1086160,1536186
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"STRAUS CAPITAL MANAGEMENT, L.L.C.","Alistair Capital Management, L.L.C.",0.6,1,True,2013Q3,2013Q4,1086160,1540557
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"ANDOR CAPITAL MANAGEMENT, L.L.C.","Boyle Capital Management, L.L.C.",0.6,1,True,2016Q2,2016Q3,1166147,1573485
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Sheffield Asset Management, L.L.C.","Beaumont Asset Management, L.L.C.",0.6,1,True,2019Q3,2019Q4,1314150,1798756
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),Orchard Hill Capital Management LP,"KETTLE HILL CAPITAL MANAGEMENT, LLC",0.6,1,True,2016Q3,2016Q4,1565989,1387369
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"PACIFIC ALTERNATIVE ASSET MANAGEMENT COMPANY, LLC","PACIFIC VIEW ASSET MANAGEMENT, LLC",0.6,1,True,2017Q3,2017Q4,1357372,1729381
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Financial Planning & Information Services, Inc.","Quantum Financial Planning Services, Inc.",0.6,1,True,2024Q3,2024Q4,1841433,2050169
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),First Western Capital Management Co,First Growth Capital Management LLC,0.6,1,True,2020Q3,2020Q4,1603142,1830236
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"TIDE POINT CAPITAL MANAGEMENT, LP","Point Break Capital Management, LLC",0.6,1,True,2018Q3,2018Q4,1590569,1631943
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"TIDE POINT CAPITAL MANAGEMENT, LP","Spruce Point Capital Management, LLC",0.6,1,True,2018Q3,2018Q4,1590569,1731579
N,DUVIDA,DUVIDA nao resolvida -> N conservador (merge errado e pior que faltante),"Grey Owl Capital Management, LLC","Green Owl Capital Management, LLC",0.6,1,True,2014Q3,2014Q4,1599375,1589248
