instrument_id,avg_value_usd,issuer
532457108,329278882356.625,LILLY ELI & CO
02079K107,253995973512.875,ALPHABET INC
46625H100,219810718040.375,JPMORGAN CHASE & CO
084670702,187342308399.0,BERKSHIRE HATHAWAY INC DEL
91324P102,125488781910.375,UNITEDHEALTH GROUP INC
30231G102,122597871961.25,EXXON MOBIL CORP
22160K105,115661872725.625,COSTCO WHSL CORP NEW
060505104,114222271050.75,BANK AMERICA CORP
742718109,105468266091.625,PROCTER AND GAMBLE CO
002824100,77867215492.75,ABBOTT LABS
17275R102,73341947478.25,CISCO SYS INC
718172109,66392787693.125,PHILIP MORRIS INTL INC
580135101,63330295798.0,MCDONALDS CORP
874039100,61836111050.25,TAIWAN SEMICONDUCTOR MFG LTD
459200101,61275718851.5,INTERNATIONAL BUSINESS MACHS
084670108,56981541926.25,BERKSHIRE HATHAWAY INC DEL
882508104,56283155504.75,TEXAS INSTRS INC
038222105,56116615795.875,APPLIED MATLS INC
75513E101,55621521759.375,RAYTHEON TECHNOLOGIES CORP
254687106,52998344713.875,DISNEY WALT CO
BBG000BLZRJ2,52364226010.25,MORGAN STANLEY
438516106,48059828669.875,HONEYWELL INTL INC
BBG001S5N8V8,45751499244.0,APPLE INC
907818108,44508980958.25,UNION PAC CORP
BBG001S5TZJ6,40962030992.75,NVIDIA CORPORATION
615369105,39902593428.625,MOODYS CORP
808513105,39833179584.625,SCHWAB CHARLES CORP
BBG001S5TD05,39232856158.125,MICROSOFT CORP
09290D101,38868736734.75,BLACKROCK INC
548661107,38600020809.75,LOWES COS INC
053015103,37057743826.875,AUTOMATIC DATA PROCESSING IN
040413205,35763242497.5,ARISTA NETWORKS INC
512807306,35634677001.125,LAM RESEARCH CORP
45866F104,35106621378.875,INTERCONTINENTAL EXCHANGE IN
14040H105,34712529091.5,CAPITAL ONE FINL CORP
94106L109,33280142566.875,WASTE MGMT INC DEL
571748102,32682814181.875,MARSH & MCLENNAN COS INC
03027X100,31668372139.625,AMERICAN TOWER CORP NEW
82509L107,28812253841.625,SHOPIFY INC
036752103,27630266969.25,ANTHEM INC
G0403H108,26818821614.875,AON PLC
11271J107,26494013635.25,BROOKFIELD CORP
BBG000BPH459,26371165440.625,MICROSOFT CORP
884903808,26254753514.0,THOMSON REUTERS CORP
21037T109,26173546783.75,CONSTELLATION ENERGY CORP
452308109,26158654056.75,ILLINOIS TOOL WKS INC
22788C105,25876944332.0,CROWDSTRIKE HLDGS INC
609207105,25707719199.375,MONDELEZ INTL INC
780087102,25658253509.375,ROYAL BK CDA
BBG001S5PQL7,25030312015.75,AMAZON COM INC
BBG000BBJQV0,24900196236.75,NVIDIA CORPORATION
127387108,23994451659.0,CADENCE DESIGN SYSTEM INC
363576109,23864141784.375,GALLAGHER ARTHUR J & CO
26875P101,23522509138.375,EOG RES INC
03769M106,23092508391.625,APOLLO GLOBAL MGMT INC
291011104,23041746213.375,EMERSON ELEC CO
BBG000B9XRY4,22667330271.125,APPLE INC
88579Y101,22134670621.625,3M CO
70450Y103,22109452981.0,PAYPAL HLDGS INC
G3643J108,22106115358.5,FLUTTER ENTMT PLC
67103H107,22021805612.625,OREILLY AUTOMOTIVE INC
V7780T103,21985931359.25,ROYAL CARIBBEAN GROUP
693475105,21967396701.125,PNC FINL SVCS GROUP INC
674599105,21776973891.25,OCCIDENTAL PETE CORP
009158106,21747427384.125,AIR PRODS & CHEMS INC
74762E102,21681558154.5,QUANTA SVCS INC
H42097107,21551515215.75,UBS GROUP AG
253868103,21210517914.75,DIGITAL RLTY TR INC
N07059210,21171424022.625,ASML HOLDING N V
62548M100,20977448489.5,MULTIPLAN CORPORATION
03073E105,20120742802.625,AMERISOURCEBERGEN CORP
43300A203,19983716662.875,HILTON WORLDWIDE HLDGS INC
BBG01ZZNBZH4,19716616284.0,PROSHARES TR
902973304,19645924945.0,US BANCORP DEL
828806109,19275389957.625,SIMON PPTY GROUP INC NEW
891160509,18918057118.625,TORONTO DOMINION BK ONT
806857108,18904925391.875,SCHLUMBERGER LTD
136385101,18804251611.25,CANADIAN NAT RES LTD
285512109,18741708499.875,ELECTRONIC ARTS INC
BBG001S5STL8,18670204262.625,ELI LILLY & CO
BBG009S39JY5,18651167393.25,ALPHABET INC
G51502105,18224509539.875,JOHNSON CTLS INTL PLC
136375102,17999181587.25,CANADIAN NATL RY CO
075887109,17588360963.25,BECTON DICKINSON & CO
37045V100,17361781811.5,GENERAL MTRS CO
770700102,17282415974.125,ROBINHOOD MKTS INC
064058100,17131155415.5,BANK NEW YORK MELLON CORP
G6683N103,16921235782.875,NU HLDGS LTD
571903202,16308075053.25,MARRIOTT INTL INC NEW
BBG000BVPV84,15871865381.125,AMAZON COM INC
760759100,15867619335.25,REPUBLIC SVCS INC
025537101,15794578352.875,AMERICAN ELEC PWR CO INC
816851109,15503519317.625,SEMPRA ENERGY
81141R100,15421596443.5,SEA LTD
22822V101,15218589820.75,CROWN CASTLE INTL CORP NEW
BBG001SFB7R6,14929708774.0,ISHARES TR
874054109,14929215858.875,TAKE-TWO INTERACTIVE SOFTWAR
45168D104,14849754265.0,IDEXX LABS INC
BBG001SQCQC5,14524152960.875,META PLATFORMS INC
56585A102,14336533414.5,MARATHON PETE CORP
89832Q109,14193844835.5,TRUIST FINL CORP
026874784,14051225000.375,AMERICAN INTL GROUP INC
03076C106,13871199893.875,AMERIPRISE FINL INC
BBG001S72SM3,13849289306.75,SPDR S&P 500 ETF TR
BBG009S3NB21,13738786727.625,ALPHABET INC
01609W102,13531792857.625,ALIBABA GROUP HLDG LTD
36266G107,13466602002.25,GE HEALTHCARE TECHNOLOGIES I
594972408,13375275321.25,MICROSTRATEGY INC
G87052109,13190808587.625,TE CONNECTIVITY PLC
384802104,13134625047.875,GRAINGER W W INC
925652109,13051470619.5,VICI PPTYS INC
69331C108,12827733470.875,PG&E CORP
G7997R103,12644606795.25,SEAGATE TECHNOLOGY HLDNGS PL
BBG009S39JX6,12601189483.0,ALPHABET INC
744573106,12588391740.125,PUBLIC SVC ENTERPRISE GRP IN
609839105,12460270977.5,MONOLITHIC PWR SYS INC
31620M106,12376465099.75,FIDELITY NATL INFORMATION SV
42809H107,12323907484.625,HESS CORP
934423104,12156509904.375,WARNER BROS DISCOVERY INC
063671101,12066767662.875,BANK MONTREAL QUE
345370860,11867370591.5,FORD MTR CO DEL
BBG000BFYCD5,11825191851.375,CNA FINL CORP
46266C105,11802157517.625,IQVIA HLDGS INC
87612G101,11674449891.5,TARGA RES CORP
922475108,11666801711.5,VEEVA SYS INC
BBG00KHY5SY8,11513504460.5,BROADCOM INC
192446102,11476082455.875,COGNIZANT TECHNOLOGY SOLUTIO
BBG001S90346,11403927651.5,BERKSHIRE HATHAWAY INC DEL
G0450A105,11362913726.0,ARCH CAP GROUP LTD
573284106,10963993736.5,MARTIN MARIETTA MATLS INC
416515104,10917181530.375,HARTFORD FINL SVCS GROUP INC
929160109,10748706147.875,VULCAN MATLS CO
962879102,10702763033.625,WHEATON PRECIOUS METALS CORP
064149107,10654378876.5,BANK N S HALIFAX
538034109,10639912117.875,LIVE NATION ENTERTAINMENT IN
BBG001SQKGD7,10582661015.375,TESLA INC
BBG001SHTB03,10562490056.375,VANGUARD INDEX FDS
049468101,10486675760.125,ATLASSIAN CORPORATION
929740108,10385910631.0,WABTEC
21871X109,10309447206.875,COREBRIDGE FINL INC
BBG000MM2P62,10259153856.875,META PLATFORMS INC
370334104,10153045837.375,GENERAL MLS INC
053484101,9991499971.5,AVALONBAY CMNTYS INC
BBG001S8CRC3,9989145350.5,JPMORGAN CHASE & CO.
001017466,9981983553.4,HERSHEY COMPANY CLASS B
46284V101,9924935175.25,IRON MTN INC NEW
427866306,9920454019.666666,Hershey Company (The) - Class B
744320102,9883883981.375,PRUDENTIAL FINL INC
16119P108,9766172377.375,CHARTER COMMUNICATIONS INC N
80004C200,9711473586.0,SANDISK CORP
136069101,9675861087.25,CDN IMPERIAL BK COMM TORONTO
06849F108,9643169387.0,BARRICK MNG CORP
37940X102,9601941719.375,GLOBAL PMTS INC
679580100,9545303180.75,OLD DOMINION FREIGHT LINE IN
857477103,9470123091.125,STATE STR CORP
BBG00KHY5S69,9400416079.375,BROADCOM INC
29476L107,9332202076.0,EQUITY RESIDENTIAL
910047109,9316751148.875,UNITED AIRLS HLDGS INC
88262P102,9311539527.875,TEXAS PACIFIC LAND CORPORATI
50212V100,9285920925.125,LPL FINL HLDGS INC
11133T103,9209577549.875,BROADRIDGE FINL SOLUTIONS IN
45841N107,9137177226.0,INTERACTIVE BROKERS GROUP IN
BBG001SRCFY3,9133152979.375,VISA INC
881624209,9082255884.75,TEVA PHARMACEUTICAL INDS LTD
H2906T109,8924354181.625,GARMIN LTD
030420103,8789685137.625,AMERICAN WTR WKS CO INC NEW
459506101,8788406268.625,INTERNATIONAL FLAVORS&FRAGRA
G96629103,8774542844.0,WILLIS TOWERS WATSON PLC LTD
254709108,8754847768.625,DISCOVER FINL SVCS
G0593M107,8721411721.4,ASTRAZENECA PLC
56501R106,8688523290.625,MANULIFE FINL CORP
531229755,8519583226.25,LIBERTY MEDIA CORP DEL
40434L105,8430656688.875,HP INC
487836108,8366987633.125,KELLOGG CO
76131D103,8331422563.25,RESTAURANT BRANDS INTL INC
256677105,8331121278.75,DOLLAR GEN CORP NEW
281020107,8263493077.0,EDISON INTL
969904101,8067775508.0,WILLIAMS SONOMA INC
55261F104,8010871674.875,M & T BK CORP
G8473T100,7984355439.375,STERIS PLC
745867101,7940103963.625,PULTE GROUP INC
518439104,7939374055.125,LAUDER ESTEE COS INC
693506107,7839565788.125,PPG INDS INC
03662Q105,7803344643.125,ANSYS INC
351858105,7669390730.375,FRANCO NEV CORP
BBG001S6P675,7592973289.0,MICRON TECHNOLOGY INC
BBG001TC6MC1,7557664913.75,VANGUARD INDEX FDS
165167735,7472341972.75,CHESAPEAKE ENERGY CORP
BBG019PD35Z0,7339640111.25,NEXTERA ENERGY INC
BBG009S3NB30,7297142596.25,ALPHABET INC
457152106,7276762925.833333,INGRAM MICRO HLDG CORP
844741108,7265250976.125,SOUTHWEST AIRLS CO
12503M108,7218347335.875,CBOE GLOBAL MKTS INC
754730109,7118567989.5,RAYMOND JAMES FINL INC
955306105,7109039153.625,WEST PHARMACEUTICAL SVSC INC
174610105,7094291695.375,CITIZENS FINL GROUP INC
74251V102,7027914100.5,PRINCIPAL FINANCIAL GROUP IN
88023U101,7023077936.625,TEMPUR SEALY INTL INC
74144T108,6932716319.875,PRICE T ROWE GROUP INC
30040W108,6922272732.625,EVERSOURCE ENERGY
199908104,6908517240.5,COMFORT SYS USA INC
084423102,6894387658.5,BERKLEY W R CORP
N00985106,6854332714.25,AERCAP HOLDINGS NV
19247G107,6851989151.0,COHERENT CORP
BBG000F1ZSQ2,6807735729.125,MASTERCARD INCORPORATED
983793100,6798228189.25,XPO LOGISTICS INC
36168Q104,6670586774.875,GFL ENVIRONMENTAL INC
29273V100,6666405938.5,ENERGY TRANSFER L P
780259305,6652759367.125,SHELL PLC
BBG001S9KRQ7,6639697682.0,COSTCO WHSL CORP NEW
172062101,6612659976.625,CINCINNATI FINL CORP
59522J103,6563143765.375,MID-AMER APT CMNTYS INC
D18190898,6562302356.5,DEUTSCHE BANK A G
H11356104,6503889465.625,BUNGE GLOBAL SA
695156109,6305676105.25,PACKAGING CORP AMER
293792107,6243297879.125,ENTERPRISE PRODS PARTNERS L
422806208,6144217670.5,HEICO CORP NEW
BBG001SCNW31,6127771858.0,ASTRAZENECA PLC
M2682V108,6120379769.875,CYBERARK SOFTWARE LTD
015271109,6097166955.75,ALEXANDRIA REAL ESTATE EQ IN
BBG000DWG505,5999615811.875,BERKSHIRE HATHAWAY INC DEL
297178105,5976521185.625,ESSEX PPTY TR INC
BBG001S5SHQ9,5966575360.75,JOHNSON & JOHNSON
98980L101,5959809406.625,ZOOM VIDEO COMMUNICATIONS IN
25754A201,5943685353.375,DOMINOS PIZZA INC
BBG000PSKYX7,5937037027.125,VISA INC
00827B106,5921759407.5,AFFIRM HLDGS INC
55024U109,5897010921.875,LUMENTUM HLDGS INC
436440101,5881070947.625,HOLOGIC INC
BBG001S5NNL6,5855381818.75,AMGEN INC
BBG001S9GN63,5844531403.0,INVESCO QQQ TR
31946M103,5839244548.25,FIRST CTZNS BANCSHARES INC N
78467J100,5823695899.0,SS&C TECHNOLOGIES HLDGS INC
