period,n_filers,total_value_usd
2013-03-31,56,315715619140.0
2013-06-30,2793,9018790414774.0
2013-09-30,2839,8668743541677.0
2013-12-31,3102,8021127905423.0
2014-03-31,3114,8384288862654.0
2014-06-30,3132,9213369658237.0
2014-09-30,3137,8948202823719.0
2014-12-31,3372,9251341765629.0
2015-03-31,3367,9210718321581.0
2015-06-30,3357,10268119251485.0
2015-09-30,3370,8471534434827.0
2015-12-31,3511,8655823897773.0
2016-03-31,3477,8481894729743.0
2016-06-30,3498,9307833720735.0
2016-09-30,3475,8928495034572.0
2016-12-31,3615,8385889111953.0
2017-03-31,3608,9107889035957.0
2017-06-30,3650,8909305062832.0
2017-09-30,3610,9233572349064.0
2017-12-31,3941,10753799048718.0
2018-03-31,3960,10422377854123.0
2018-06-30,3983,13054053949234.0
2018-09-30,3992,11657964999407.0
2018-12-31,4319,10035624522806.0
2019-03-31,4306,10856957283073.0
2019-06-30,4290,11441598687000.0
2019-09-30,4293,11361193518681.0
2019-12-31,4657,12845164584703.0
2020-03-31,4630,9994282484048.0
2020-06-30,4671,13434323174577.0
2020-09-30,4678,14282787812946.0
2020-12-31,5155,15018339896788.0
2021-03-31,5188,15498006009848.0
2021-06-30,5252,17024134987411.0
2021-09-30,5266,17707149369570.0
2021-12-31,5983,19375795934629.0
2022-03-31,6019,18293566505089.0
2022-06-30,6026,14952471010898.0
2022-09-30,5991,15146265662865.0
2022-12-31,6165,18188778120059.0
2023-03-31,6107,17952944351359.0
2023-06-30,6151,18614113793201.0
2023-09-30,6166,18746623853332.0
2023-12-31,6430,19832600113403.0
2024-03-31,6454,21072123489476.0
2024-06-30,6494,25502170369701.0
2024-09-30,6563,25746672685433.0
2024-12-31,7079,26982201516272.0
2025-03-31,7093,22069937902008.0
2025-06-30,7110,25718746438926.0
2025-09-30,7091,26442448736740.0
2025-12-31,7668,24921774218973.0
2026-03-31,7693,22652645562861.0
