signal_name,horizon_days,n_events,median_names,mean_ic,ic_t_nw
abnormal_adoption,5,1960,1033.0,-0.010476224017867226,-3.369253645428516
abnormal_adoption,21,1960,1033.0,-0.014485383359190522,-3.055759677532867
abnormal_adoption,63,1949,1033.0,0.0003790083362802723,0.06417947977279015
abnormal_level,5,1990,1041.5,-0.001092434250564666,-0.6445580978177284
abnormal_level,21,1990,1041.5,0.0018977384705428735,0.687170016798432
abnormal_level,63,1979,1033.0,0.008933945640255056,2.210532850773274
ccp,5,1990,1075.0,0.016408416523481312,7.658860679123714
ccp,21,1990,1075.0,0.02633133064271425,9.463700049906823
ccp,63,1979,1062.0,0.046589015144565815,11.771915134810522
consensus,5,1990,1075.0,0.01203585607501729,6.4312941505303876
consensus,21,1990,1075.0,0.021771010339627514,8.299389639783907
consensus,63,1979,1062.0,0.03714066327618384,8.55051269661227
double_down_all,5,1990,1075.0,0.007584879908607166,1.8288599957796434
double_down_all,21,1990,1075.0,0.016462816198269063,2.4186208411464136
double_down_all,63,1979,1062.0,0.021479830478151517,2.298251561814268
double_down_specific,5,1990,471.0,-0.00040345103107788336,-0.08208218548362563
double_down_specific,21,1990,471.0,0.005216781540668137,0.6356662869746542
double_down_specific,63,1979,467.0,0.006562452998258002,0.5626283425738368
fragility_reversal,5,3215,933.0,-0.0016363591407821754,-0.6567001131346428
fragility_reversal,21,3199,933.0,-0.007468765711273997,-2.0932206513506677
fragility_reversal,63,3157,916.0,-0.006792385898311347,-1.4046052999871275
fragility_stress,5,332,933.0,0.0022167960378861383,0.32734416536887745
fragility_stress,21,331,933.0,0.005962493334944232,0.6697870648572115
fragility_stress,63,324,933.0,0.011344476873434949,0.7458069971641362
fragility_unconditional,5,3215,933.0,-0.00246550238247366,-1.147313753557317
fragility_unconditional,21,3199,933.0,-0.009830254473516735,-2.886447426970364
fragility_unconditional,63,3157,916.0,-0.018638830026432858,-3.105886889121285
new_holder_breadth,5,1990,1075.0,0.013100459011973995,6.356279436236368
new_holder_breadth,21,1990,1075.0,0.01846653467481426,7.089309442207408
new_holder_breadth,63,1979,1062.0,0.03448136744317802,8.305574004086994
sticky_quality,5,1990,1075.0,0.0001368912443470899,0.07615760652034449
sticky_quality,21,1990,1075.0,-0.002249156250231088,-0.8897677829480052
sticky_quality,63,1979,1062.0,-0.0071431356175410575,-1.851375027577356
sticky_raw,5,1990,1075.0,0.0005186403414421887,0.2813688917549286
sticky_raw,21,1990,1075.0,-0.0017968325643348303,-0.6735738772295673
sticky_raw,63,1979,1062.0,-0.00904441528913812,-2.2739002908436547
sticky_specificity,5,1990,1075.0,0.0002193433297764341,0.12090152016153734
sticky_specificity,21,1990,1075.0,-0.001917449995202583,-0.7540450814745854
sticky_specificity,63,1979,1062.0,-0.006761829794417194,-1.7384285887604762
