signal_name,horizon_days,n_events,median_names,mean_ic,ic_t_nw
abnormal_adoption,5,311,1921.0,-0.011010496578441735,-1.4734868581419671
abnormal_adoption,21,311,1921.0,-0.0033450870040387572,-0.3015448107115231
abnormal_adoption,63,300,1921.0,-0.009207521241958503,-0.6654199454217682
abnormal_level,5,357,1921.0,-0.005823063950039471,-1.3144284031063593
abnormal_level,21,357,1921.0,-0.008637660431071986,-1.3520623831435052
abnormal_level,63,346,1907.5,-0.01707806900430839,-2.5048952974050778
ccp,5,357,1978.0,0.011101944870448842,2.398924943982049
ccp,21,357,1978.0,0.026104880733317282,3.793506252848911
ccp,63,346,1970.0,0.033959275049836306,4.328846450734817
consensus,5,357,1978.0,0.009700734088868134,2.3447674311015847
consensus,21,357,1978.0,0.023974204464814925,3.949050985488302
consensus,63,346,1970.0,0.036639472439073395,4.886961961452967
double_down_all,5,357,1978.0,0.03769670332235388,3.5882199815617715
double_down_all,21,357,1978.0,0.061431551226731676,4.301827873497758
double_down_all,63,346,1970.0,0.06662715180141822,3.739971388616945
double_down_specific,5,357,791.0,0.04874340150685324,3.9805886612158887
double_down_specific,21,357,791.0,0.08990691915449131,4.953305042067807
double_down_specific,63,346,791.0,0.07348360194912709,2.7466610183590445
fragility_reversal,5,525,1923.0,-0.009817555916877614,-1.5465463356089062
fragility_reversal,21,509,1908.0,-0.011357672134251887,-1.2308264635972044
fragility_reversal,63,467,1907.0,5.6405248158253494e-05,0.0051643204490265495
fragility_stress,5,60,1818.0,-0.02027176172591172,-1.3644331052339884
fragility_stress,21,59,1818.0,-0.003420618139545895,-0.22251294870310775
fragility_stress,63,52,1818.0,-0.02499955111771149,-1.2905808722670773
fragility_unconditional,5,525,1923.0,-0.002470602018159491,-0.53380437476564
fragility_unconditional,21,509,1908.0,-0.013625091279400143,-1.9104414674767354
fragility_unconditional,63,467,1907.0,-0.011916395134095816,-0.9599255883272125
new_holder_breadth,5,357,1978.0,0.008687261365148764,2.2736730449897746
new_holder_breadth,21,357,1978.0,0.017576837888197576,2.8583180429146355
new_holder_breadth,63,346,1970.0,0.03140687881783078,3.9779354883267084
sticky_quality,5,357,1978.0,-0.004529880543756438,-1.208102934629481
sticky_quality,21,357,1978.0,-0.006177218699756079,-1.2326794355937447
sticky_quality,63,346,1970.0,0.011843828832464879,1.6728234204606585
sticky_raw,5,357,1978.0,-0.006885899078048933,-1.860096723044889
sticky_raw,21,357,1978.0,-0.009183604998029593,-1.7171353672030263
sticky_raw,63,346,1970.0,0.004143022952793339,0.5716088368520179
sticky_specificity,5,357,1978.0,-0.004489449908732411,-1.1934992969105922
sticky_specificity,21,357,1978.0,-0.006035299523855127,-1.1989927575755388
sticky_specificity,63,346,1970.0,0.011958033671848707,1.6778712419051276
