period,d_spread,d_ic
2013-09-30,0.0,0.0
2013-12-31,0.0,2.341640102021536e-05
2014-03-31,0.0,-2.6991078301688565e-05
2014-06-30,0.0,3.672630031982538e-05
2014-09-30,0.0,-5.428375400776814e-05
2014-12-31,0.0,-2.6409403860588876e-06
2015-03-31,0.0,-6.325113228491941e-05
2015-06-30,0.0,-5.487538954296323e-06
2015-09-30,0.0,3.475967083282905e-05
2015-12-31,0.0,-1.5551645149842336e-05
2016-03-31,0.0,0.0
2016-06-30,0.0,0.0
2016-09-30,0.0,6.156118396581645e-05
2016-12-31,0.0,0.0
2017-03-31,0.0,0.0
2017-06-30,0.0,0.0
2017-09-30,0.0,0.0
2017-12-31,-0.00010432390141114356,-1.1209390376673567e-05
2018-03-31,-0.0007313799809492982,5.463411438914878e-07
2018-06-30,0.0,-9.005353696273088e-06
2018-09-30,-0.0016149686513277084,8.367905555435595e-05
2018-12-31,0.0,4.468432653243967e-05
2019-03-31,0.0,1.1795439354644888e-05
2019-06-30,0.0,5.068787698042643e-06
2019-09-30,0.0,3.0407317896705144e-05
2019-12-31,0.0,-9.821213292376951e-06
2020-03-31,0.0,1.6851945962147175e-05
2020-06-30,0.0,-1.7408191576029353e-05
2020-09-30,0.0,-1.5080900372943518e-05
2020-12-31,0.0,-3.2690922683875634e-06
2021-03-31,0.0,1.7266970765124692e-06
2021-06-30,0.0,-1.8574546569657957e-06
2021-09-30,0.0,0.0
2021-12-31,0.0,-9.724168691327417e-06
2022-03-31,0.0,1.1123199987722598e-05
2022-06-30,0.0,4.152583975587654e-05
2022-09-30,0.0,-3.800988188088633e-06
2022-12-31,0.0,9.302462884025475e-07
2023-03-31,0.0,-7.0752566126222605e-06
2023-06-30,0.0,-4.533770630130163e-06
2023-09-30,-9.665741441328146e-05,-9.0291017544996e-06
2023-12-31,0.0007711721183729925,7.452055874421215e-06
2024-03-31,0.0,4.0686312996335294e-06
2024-06-30,0.0,2.4430121549574857e-05
2024-09-30,0.0,-4.807396880769643e-05
2024-12-31,0.0,0.0
2025-03-31,0.01632795879718031,0.009482421162991143
2025-06-30,0.007445781189630199,0.017161157165732008
2025-09-30,-0.009964479509476792,-0.007260710534049655
2025-12-31,-0.003187840592233565,0.005073192940984378
