period,signal,n,excess_all,spread_hilo
2013-12-31,shadow_flow,584,-0.015347097722965197,0.003745618190434714
2013-12-31,placebo_lowsaum,463,-0.014986183711130575,0.015400266510495336
2014-03-31,shadow_flow,624,-0.009304559230822892,-0.0031964930348880177
2014-03-31,placebo_lowsaum,461,-0.007078946137444975,0.02290115579985537
2014-06-30,shadow_flow,623,0.005067984142146716,0.001040502079543041
2014-06-30,placebo_lowsaum,510,0.007358594314138045,0.014457127527930914
2014-09-30,shadow_flow,587,-0.21657823406250287,0.021142046255031688
2014-09-30,placebo_lowsaum,554,-0.21445733766730912,0.002124576625399055
2014-12-31,shadow_flow,630,-0.048236642199481594,-0.0019362014680641554
2014-12-31,placebo_lowsaum,279,-0.0536145588263027,-0.008470799416134558
2015-03-31,shadow_flow,663,-0.0025750671797082104,-0.0034470949528629634
2015-03-31,placebo_lowsaum,311,-0.010484031211329257,-0.00138950187271588
2015-06-30,shadow_flow,630,0.0013595822540969534,-0.014633228882743437
2015-06-30,placebo_lowsaum,407,0.002911283198868752,-0.0032648051993194125
2015-09-30,shadow_flow,632,0.0007798836826103106,0.005207488271078045
2015-09-30,placebo_lowsaum,375,-0.009152277403096584,0.01962842754507521
2015-12-31,shadow_flow,647,-0.012369592498435389,0.022880957171876118
2015-12-31,placebo_lowsaum,307,-0.014355526998648907,0.017966493245922477
2016-03-31,shadow_flow,688,-0.02938971400848782,-0.012008515606475409
2016-03-31,placebo_lowsaum,433,-0.034552362419838445,0.010764761504645809
2016-06-30,shadow_flow,698,-0.017990447786157354,0.008566231613155537
2016-06-30,placebo_lowsaum,561,-0.013338199157835018,0.005737312593848999
2016-09-30,shadow_flow,691,-0.011271874292416037,-0.008544647156848287
2016-09-30,placebo_lowsaum,569,-0.016690089835617775,-0.0061480251401539315
2016-12-31,shadow_flow,657,0.007018053487016885,-0.011073240855182827
2016-12-31,placebo_lowsaum,364,0.014513262766320255,0.017087021380899327
2017-03-31,shadow_flow,751,-0.0027745688722980964,-0.007177621169683386
2017-03-31,placebo_lowsaum,512,0.002188454755383918,-0.0064579576706981015
2017-06-30,shadow_flow,699,-0.028045253303628906,-0.019604740095671022
2017-06-30,placebo_lowsaum,736,-0.020705840341639623,-0.006601078584138248
2017-09-30,shadow_flow,674,0.004702466300836497,-0.008574386147267812
2017-09-30,placebo_lowsaum,522,-0.0140073026966549,-0.0033427944788075106
2017-12-31,shadow_flow,687,-0.02108500596868733,0.008982122968053428
2017-12-31,placebo_lowsaum,588,-0.02870563510342872,0.0119863773438314
2018-03-31,shadow_flow,800,0.001932398454713942,0.00408184784107718
2018-03-31,placebo_lowsaum,343,0.008064626525416452,0.00025331590460555414
2018-06-30,shadow_flow,728,-0.01885388336402445,-0.024122505404301622
2018-06-30,placebo_lowsaum,537,-0.008161796098327428,-0.003666581436284469
2018-09-30,shadow_flow,824,-0.007845822214649134,-0.01167409300498233
2018-09-30,placebo_lowsaum,370,-0.0011675195720731446,0.004434607534859414
2018-12-31,shadow_flow,814,-0.007264048023945806,-0.008869642265093214
2018-12-31,placebo_lowsaum,545,0.0003192552337671836,0.015459445352347407
2019-03-31,shadow_flow,830,0.021101172802498416,-0.03670061201701659
2019-03-31,placebo_lowsaum,497,0.026286365836892908,-0.01693866338503608
2019-06-30,shadow_flow,836,0.011918699638537589,0.001028475869643608
2019-06-30,placebo_lowsaum,389,-0.003280579142787586,-0.05999496757495901
2019-09-30,shadow_flow,790,-0.02091266259713538,-0.05402184335286082
2019-09-30,placebo_lowsaum,719,-0.01752069739695644,-0.024596996669176877
2019-12-31,shadow_flow,828,-0.03737063940698966,-0.03357803758862497
2019-12-31,placebo_lowsaum,685,-0.04826056451580883,-0.05191356097237865
2020-03-31,shadow_flow,902,-0.06620607500551434,-0.022496331965465632
2020-03-31,placebo_lowsaum,415,-0.08017925108609811,0.006161568589747007
2020-06-30,shadow_flow,918,-1.0002989341885826,-0.009049207256890707
2020-06-30,placebo_lowsaum,985,-0.9889291032192749,-0.0019558174815516582
2020-09-30,shadow_flow,839,-0.1616023302107394,-0.06223674602851592
2020-09-30,placebo_lowsaum,429,-0.19845517993853265,0.031665449166880744
2020-12-31,shadow_flow,887,0.015699251019443757,0.024717301907771393
2020-12-31,placebo_lowsaum,771,-0.004558516042270085,-0.028140473146030964
2021-03-31,shadow_flow,838,0.02813372892163072,-0.0008191943964962521
2021-03-31,placebo_lowsaum,731,0.019447590311655234,0.002245351942159235
2021-06-30,shadow_flow,885,-0.005191556970849109,0.00135643475494851
2021-06-30,placebo_lowsaum,683,-0.02230165898945924,0.0001351631447418719
2021-09-30,shadow_flow,874,0.03872395649448755,-0.022364405836584195
2021-09-30,placebo_lowsaum,566,0.027791377041779752,0.05013196598101796
2021-12-31,shadow_flow,804,-0.03194176650741086,0.05099062336950044
2021-12-31,placebo_lowsaum,655,-0.03210855644946678,0.019879357889373936
2022-03-31,shadow_flow,769,-0.017581189942128567,-0.020365951385926326
2022-03-31,placebo_lowsaum,621,-0.0019418121986291143,-0.004420805607264072
2022-06-30,shadow_flow,851,0.006699791236505312,-0.0019065903336137613
2022-06-30,placebo_lowsaum,427,0.004206365992769162,-0.011220229464293463
2022-09-30,shadow_flow,773,-0.027742654647022164,-0.009264892299181676
2022-09-30,placebo_lowsaum,498,-0.04020366300053832,-0.0030000425921955926
2022-12-31,shadow_flow,806,0.017417208850799275,-0.0072601188557380875
2022-12-31,placebo_lowsaum,732,0.03652065960921444,0.002489795159309336
2023-03-31,shadow_flow,873,0.016623900767659405,-0.006752455283809244
2023-03-31,placebo_lowsaum,538,0.008010959562907996,-0.029226979094834637
2023-06-30,shadow_flow,845,0.03736662240093634,-8.131329775815967e-05
2023-06-30,placebo_lowsaum,700,0.04442909365639031,0.008492466383541373
2023-09-30,shadow_flow,881,-0.019559588506068704,-0.010312975128482046
2023-09-30,placebo_lowsaum,802,0.0010021466798908196,-0.041913519436342
2023-12-31,shadow_flow,925,-0.0016093702494094989,-0.01383551518785791
2023-12-31,placebo_lowsaum,746,-0.006331754570182924,-0.004294020750490589
2024-03-31,shadow_flow,1131,0.006579449759231732,0.0018693717384904458
2024-03-31,placebo_lowsaum,880,0.019188907540418625,0.00893388654605701
2024-06-30,shadow_flow,1106,0.004169711990385211,-0.002336124293453104
2024-06-30,placebo_lowsaum,742,0.009894620976835376,0.002293159623938751
2024-09-30,shadow_flow,1100,-0.06727930048335667,-0.03985357018696112
2024-09-30,placebo_lowsaum,483,-0.07048242040589658,-0.058764365073932956
2024-12-31,shadow_flow,937,0.022080401780517685,-0.021159500799309
2024-12-31,placebo_lowsaum,810,0.03118306341072819,-0.011412723604587494
2025-03-31,shadow_flow,996,-0.028085363206437203,-0.021985196330345375
2025-03-31,placebo_lowsaum,646,-0.024188292114644308,-0.025673165870925385
2025-06-30,shadow_flow,974,-0.018418334041889278,-0.010496542366608519
2025-06-30,placebo_lowsaum,965,-0.00950431973689154,-0.015232688434927404
2025-09-30,shadow_flow,929,0.0015553027759649118,-0.03482758749909366
