period,sold_healthy,sold_-0.050,n_-0.050,sold_-0.075,n_-0.075,sold_-0.100,n_-0.100,sold_-0.150,n_-0.150,sold_-0.200,n_-0.200
2013-09-30,0.21377888665696365,0.313023524545603,82,0.3742218147677949,58,0.3988273711832797,50,0.36124460263515995,36,0.3850696288939167,26
2013-12-31,0.15546099782757394,0.19835744209631223,64,0.17665918067529163,38,0.16458614250968087,26,0.16866481422820695,20,0.13245198327771524,16
2014-03-31,0.17132281387156675,0.24209311124074195,97,0.30420839850303366,63,0.25505163109452256,45,0.2810547540769115,33,0.28743936490909094,29
2014-06-30,0.17074959359538486,0.19860164203316305,83,0.22654465297289256,55,0.18312536539411886,33,0.20453716852744025,21,0.2033241768191019,15
2014-09-30,0.24496700676416389,0.2600913646517871,144,0.26331697296727297,84,0.3294168678849393,54,0.28238781110040756,32,0.27152678357947796,22
2014-12-31,0.16165344345707183,0.19065445981101817,105,0.22075991385091556,71,0.246560645148849,51,0.24665972519879795,38,0.23092837745703157,29
2015-03-31,0.14782830818118767,0.3008826526996768,148,0.2833734668291668,104,0.3231984418030656,74,0.33504392491539586,47,0.3423275630160538,38
2015-06-30,0.1882442513540574,0.3518883101310823,134,0.2212832655240373,80,0.2176062147322046,48,0.29122418130127325,31,0.38229923082826583,21
2015-09-30,0.23435600996941253,0.27233103793741065,252,0.3117469770152092,131,0.3297174462005373,82,0.41283291285343654,46,0.38936822835511237,34
2015-12-31,0.18840694426460308,0.3053069348865872,120,0.3855322488259941,84,0.24066845236051898,63,0.23349040288154407,39,0.2642283582871502,25
2016-03-31,0.2005959453869572,0.23219436049775516,192,0.24784839033511064,134,0.2166017381436281,101,0.23183064105578755,61,0.2575205774176836,39
2016-06-30,0.18402416002673733,0.20843684770962118,140,0.22117739567061226,100,0.312452640920351,69,0.374194530139505,41,0.35520386032226564,30
2016-09-30,0.19250850853053628,0.3326671306808867,165,0.36656743700017136,114,0.3777401977854949,88,0.5109902484191848,57,0.26153286922597774,39
2016-12-31,0.1817605499144732,0.23457844153927243,187,0.2541845364272377,127,0.26221119571682516,90,0.3152965921576323,55,0.44022356910592575,39
2017-03-31,0.16801749325417248,0.2877455883764677,168,0.33756966906691077,111,0.3766113363503973,82,0.46948313863627694,53,0.44705849965234645,42
