period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2013-12-31,2014-03-11,2014-03-12,2014-03-19,5,35,-0.07955182072829133,0.0013737151650227786,-0.0026262848349772215,quality_reversal
2013-12-31,2014-03-11,2014-03-12,2014-04-10,21,35,0.07170868347338935,0.012692760362367566,0.008692760362367566,quality_reversal
2013-12-31,2014-03-11,2014-03-12,2014-06-11,63,35,0.05518207282913166,0.01112052019491757,0.00712052019491757,quality_reversal
2013-12-31,2014-03-11,2014-03-12,2014-09-10,126,35,-0.04397759103641457,0.005827450211849411,0.0018274502118494108,quality_reversal
2014-03-31,2014-06-09,2014-06-10,2014-06-17,5,37,-0.006875296348980559,0.001648384593899964,-0.002351615406100036,quality_reversal
2014-03-31,2014-06-09,2014-06-10,2014-07-10,21,37,0.09080132764343289,0.005440027007740679,0.0014400270077406787,quality_reversal
2014-03-31,2014-06-09,2014-06-10,2014-09-09,63,37,0.2038880986249407,0.017255551385456393,0.013255551385456393,quality_reversal
2014-03-31,2014-06-09,2014-06-10,2014-12-08,126,37,0.22569938359412042,0.0659000717594008,0.06190007175940079,quality_reversal
2014-06-30,2014-09-08,2014-09-09,2014-09-16,5,37,0.1353722143195827,0.00608628991539552,0.0020862899153955197,quality_reversal
2014-06-30,2014-09-08,2014-09-09,2014-10-08,21,37,0.3157894736842105,0.036684345531516414,0.03268434553151642,quality_reversal
2014-06-30,2014-09-08,2014-09-09,2014-12-08,63,37,0.4186818397344712,0.10351406989685906,0.09951406989685906,quality_reversal
2014-06-30,2014-09-08,2014-09-09,2015-03-11,126,37,0.5272641062114746,0.11813733434576659,0.11413733434576659,quality_reversal
2014-09-30,2014-12-09,2014-12-10,2014-12-17,5,37,0.4473684210526315,0.014588189922689699,0.010588189922689699,quality_reversal
2014-09-30,2014-12-09,2014-12-10,2015-01-12,21,37,0.311284969179706,0.012522062392945812,0.008522062392945812,quality_reversal
2014-09-30,2014-12-09,2014-12-10,2015-03-13,63,37,0.10052157420578473,0.004742910669550191,0.0007429106695501907,quality_reversal
2014-09-30,2014-12-09,2014-12-10,2015-06-12,126,37,-0.11688003793266949,-0.01704342505203603,-0.02104342505203603,quality_reversal
2014-12-31,2015-03-11,2015-03-12,2015-03-19,5,37,0.18255097202465623,-0.002742785806623904,-0.006742785806623904,quality_reversal
2014-12-31,2015-03-11,2015-03-12,2015-04-13,21,37,0.2771455666192508,0.004356973131645705,0.00035697313164570477,quality_reversal
2014-12-31,2015-03-11,2015-03-12,2015-06-11,63,37,0.1733048838311996,0.004240196469843159,0.00024019646984315898,quality_reversal
2014-12-31,2015-03-11,2015-03-12,2015-09-10,126,37,-0.2323376007586534,-0.024415573822323212,-0.028415573822323213,quality_reversal
2015-03-31,2015-06-09,2015-06-10,2015-06-17,5,37,0.11925082977714554,0.003986510044931573,-1.3489955068427331e-05,quality_reversal
2015-03-31,2015-06-09,2015-06-10,2015-07-10,21,37,0.19464201043148407,0.0026507017365907347,-0.0013492982634092654,quality_reversal
2015-03-31,2015-06-09,2015-06-10,2015-09-09,63,37,0.2821242294926506,0.008067046571200456,0.004067046571200456,quality_reversal
2015-03-31,2015-06-09,2015-06-10,2015-12-08,126,37,0.35040303461356087,0.031000398014845523,0.027000398014845522,quality_reversal
2015-06-30,2015-09-08,2015-09-09,2015-09-16,5,37,0.47463252726410615,0.002281420681817803,-0.0017185793181821972,quality_reversal
2015-06-30,2015-09-08,2015-09-09,2015-10-08,21,37,0.4274537695590327,0.017826106949680724,0.013826106949680724,quality_reversal
2015-06-30,2015-09-08,2015-09-09,2015-12-08,63,37,0.3705547652916074,0.034344992245089065,0.030344992245089065,quality_reversal
2015-06-30,2015-09-08,2015-09-09,2016-03-10,126,37,0.5554765291607396,0.07281108733507284,0.06881108733507284,quality_reversal
2015-09-30,2015-12-09,2015-12-10,2015-12-17,5,37,-0.06235182550972024,-0.0018996197306619307,-0.00589961973066193,quality_reversal
2015-09-30,2015-12-09,2015-12-10,2016-01-12,21,37,-0.16263632053105734,-0.00835274726907665,-0.01235274726907665,quality_reversal
2015-09-30,2015-12-09,2015-12-10,2016-03-14,63,37,0.1837363679468942,0.02237936113699325,0.01837936113699325,quality_reversal
2015-09-30,2015-12-09,2015-12-10,2016-06-13,126,37,0.2586533902323376,0.04124593291543673,0.037245932915436736,quality_reversal
2015-12-31,2016-03-10,2016-03-11,2016-03-18,5,38,0.07407812670970566,1.638364309286544e-05,-0.003983616356907135,quality_reversal
2015-12-31,2016-03-10,2016-03-11,2016-04-12,21,38,-0.030309661888609254,0.0016905394928778336,-0.0023094605071221665,quality_reversal
2015-12-31,2016-03-10,2016-03-11,2016-06-10,63,38,0.1948790896159317,0.018821936312067314,0.014821936312067314,quality_reversal
2015-12-31,2016-03-10,2016-03-11,2016-09-09,126,38,0.06466790677316993,0.002827811818372189,-0.001172188181627811,quality_reversal
