period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2014-09-30,2014-12-09,2014-12-10,2014-12-17,5,37,0.38549075391180654,0.011461789153181634,0.007461789153181634,run_prone_reversal
2014-09-30,2014-12-09,2014-12-10,2015-01-12,21,37,0.2885253674727359,0.0044589163832169055,0.00045891638321690544,run_prone_reversal
2014-09-30,2014-12-09,2014-12-10,2015-03-13,63,37,0.08036984352773825,0.005894462983480096,0.0018944629834800955,run_prone_reversal
2014-09-30,2014-12-09,2014-12-10,2015-06-12,126,37,-0.10929350403034611,-0.0027783387875722904,-0.0067783387875722904,run_prone_reversal
2014-12-31,2015-03-11,2015-03-12,2015-03-19,5,37,0.17638691322901845,0.001069591427715455,-0.002930408572284545,run_prone_reversal
2014-12-31,2015-03-11,2015-03-12,2015-04-13,21,37,0.08274063537221432,0.008423978581661759,0.004423978581661759,run_prone_reversal
2014-12-31,2015-03-11,2015-03-12,2015-06-11,63,37,0.024656235182550973,0.0048752659082058475,0.0008752659082058474,run_prone_reversal
2014-12-31,2015-03-11,2015-03-12,2015-09-10,126,37,-0.17970602181128495,-0.02828335003659896,-0.03228335003659896,run_prone_reversal
2015-03-31,2015-06-09,2015-06-10,2015-06-17,5,37,0.25201517306780463,0.004057745832837023,5.7745832837022976e-05,run_prone_reversal
2015-03-31,2015-06-09,2015-06-10,2015-07-10,21,37,0.2532005689900426,0.0030004086857581113,-0.0009995913142418888,run_prone_reversal
2015-03-31,2015-06-09,2015-06-10,2015-09-09,63,37,0.33499288762446655,0.009990054373547982,0.005990054373547982,run_prone_reversal
2015-03-31,2015-06-09,2015-06-10,2015-12-08,126,37,0.40327169274537694,0.0327894898259738,0.0287894898259738,run_prone_reversal
2015-06-30,2015-09-08,2015-09-09,2015-09-16,5,37,0.48719772403982925,0.00741469679949696,0.00341469679949696,run_prone_reversal
2015-06-30,2015-09-08,2015-09-09,2015-10-08,21,37,0.4343290659080132,0.0269005716402339,0.0229005716402339,run_prone_reversal
2015-06-30,2015-09-08,2015-09-09,2015-12-08,63,37,0.20104314841156945,0.023931321205167375,0.019931321205167375,run_prone_reversal
2015-06-30,2015-09-08,2015-09-09,2016-03-10,126,37,0.4613560929350402,0.08249638730639887,0.07849638730639887,run_prone_reversal
2015-09-30,2015-12-09,2015-12-10,2015-12-17,5,37,-0.033191085822664765,0.005487981272213267,0.0014879812722132669,run_prone_reversal
2015-09-30,2015-12-09,2015-12-10,2016-01-12,21,37,-0.09815078236130867,0.004197594769270327,0.00019759476927032685,run_prone_reversal
2015-09-30,2015-12-09,2015-12-10,2016-03-14,63,37,0.19274537695590327,0.01826300821228234,0.014263008212282342,run_prone_reversal
2015-09-30,2015-12-09,2015-12-10,2016-06-13,126,37,0.23541963015647227,0.013180872900670538,0.009180872900670538,run_prone_reversal
2015-12-31,2016-03-10,2016-03-11,2016-03-18,5,38,0.06401137980085349,-0.0016588255649786655,-0.0056588255649786656,run_prone_reversal
2015-12-31,2016-03-10,2016-03-11,2016-04-12,21,38,0.01783564941459678,-2.1466755422805406e-05,-0.0040214667554228055,run_prone_reversal
2015-12-31,2016-03-10,2016-03-11,2016-06-10,63,38,0.1705875916402232,0.02715637575625001,0.02315637575625001,run_prone_reversal
2015-12-31,2016-03-10,2016-03-11,2016-09-09,126,38,-0.021337126600284494,0.004721826075806235,0.0007218260758062346,run_prone_reversal
2016-03-31,2016-06-09,2016-06-10,2016-06-17,5,38,-0.20056899004267426,-0.0024195461873514536,-0.006419546187351454,run_prone_reversal
2016-03-31,2016-06-09,2016-06-10,2016-07-12,21,38,0.05963453331874385,0.0005009817365184688,-0.0034990182634815313,run_prone_reversal
2016-03-31,2016-06-09,2016-06-10,2016-09-09,63,38,-0.15811357916621074,-0.0019123749835271778,-0.005912374983527178,run_prone_reversal
2016-03-31,2016-06-09,2016-06-10,2016-12-08,126,38,0.27388116861801065,0.02712956045009246,0.02312956045009246,run_prone_reversal
2016-06-30,2016-09-08,2016-09-09,2016-09-16,5,38,0.1946602472918262,0.003119997075593644,-0.0008800029244063561,run_prone_reversal
2016-06-30,2016-09-08,2016-09-09,2016-10-10,21,38,0.037312616259984686,0.005604952134676506,0.0016049521346765058,run_prone_reversal
2016-06-30,2016-09-08,2016-09-09,2016-12-08,63,38,-0.11828427617901302,-0.00805411049153383,-0.01205411049153383,run_prone_reversal
