period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2013-12-31,2014-03-11,2014-03-12,2014-03-19,5,35,0.16638655462184873,0.0008375917706323305,-0.0031624082293676696,specialist_reversal
2013-12-31,2014-03-11,2014-03-12,2014-04-10,21,35,0.13669467787114847,0.0121739543161555,0.0081739543161555,specialist_reversal
2013-12-31,2014-03-11,2014-03-12,2014-06-11,63,35,0.07535014005602242,0.007096120839619163,0.003096120839619163,specialist_reversal
2013-12-31,2014-03-11,2014-03-12,2014-09-10,126,35,0.0025210084033613447,-0.0036289896898936275,-0.0076289896898936276,specialist_reversal
2014-03-31,2014-06-09,2014-06-10,2014-06-17,5,37,-0.14983404457088664,0.0005984257024170192,-0.003401574297582981,specialist_reversal
2014-03-31,2014-06-09,2014-06-10,2014-07-10,21,37,0.0433854907539118,0.006327633989724151,0.0023276339897241507,specialist_reversal
2014-03-31,2014-06-09,2014-06-10,2014-09-09,63,37,0.08036984352773825,0.015811852085411315,0.011811852085411315,specialist_reversal
2014-03-31,2014-06-09,2014-06-10,2014-12-08,126,37,0.31270744428639163,0.08126288941253162,0.07726288941253162,specialist_reversal
2014-06-30,2014-09-08,2014-09-09,2014-09-16,5,37,-0.26671408250355616,-0.005739898647827472,-0.009739898647827473,specialist_reversal
2014-06-30,2014-09-08,2014-09-09,2014-10-08,21,37,-0.13798008534850636,-0.01912308566371244,-0.02312308566371244,specialist_reversal
2014-06-30,2014-09-08,2014-09-09,2014-12-08,63,37,-0.15528686581318157,-0.004102371247252847,-0.008102371247252847,specialist_reversal
2014-06-30,2014-09-08,2014-09-09,2015-03-11,126,37,-0.03105737316263632,0.019127941378535636,0.015127941378535636,specialist_reversal
2014-09-30,2014-12-09,2014-12-10,2014-12-17,5,37,0.1948790896159317,0.006968483668525554,0.0029684836685255536,specialist_reversal
2014-09-30,2014-12-09,2014-12-10,2015-01-12,21,37,0.09815078236130867,0.003585891818192704,-0.00041410818180729605,specialist_reversal
2014-09-30,2014-12-09,2014-12-10,2015-03-13,63,37,-0.014461830251303934,-0.00621700462189545,-0.01021700462189545,specialist_reversal
2014-09-30,2014-12-09,2014-12-10,2015-06-12,126,37,-0.10194404931247035,-0.014910148469602147,-0.018910148469602147,specialist_reversal
2014-12-31,2015-03-11,2015-03-12,2015-03-19,5,37,0.00521574205784732,-0.0026456512190023984,-0.0066456512190023985,specialist_reversal
2014-12-31,2015-03-11,2015-03-12,2015-04-13,21,37,0.19819819819819817,-0.0034294108062647224,-0.0074294108062647225,specialist_reversal
2014-12-31,2015-03-11,2015-03-12,2015-06-11,63,37,0.007586533902323376,-0.010639786870812462,-0.014639786870812462,specialist_reversal
2014-12-31,2015-03-11,2015-03-12,2015-09-10,126,37,-0.04954954954954954,-0.013266509021859184,-0.017266509021859184,specialist_reversal
2015-03-31,2015-06-09,2015-06-10,2015-06-17,5,37,0.30867709815078237,0.005340881264682573,0.001340881264682573,specialist_reversal
2015-03-31,2015-06-09,2015-06-10,2015-07-10,21,37,0.21455666192508294,0.010765978057770973,0.006765978057770973,specialist_reversal
2015-03-31,2015-06-09,2015-06-10,2015-09-09,63,37,0.3233760075865339,0.04545678174863982,0.041456781748639815,specialist_reversal
2015-03-31,2015-06-09,2015-06-10,2015-12-08,126,37,0.40161213845424365,0.09817735484060201,0.09417735484060201,specialist_reversal
2015-06-30,2015-09-08,2015-09-09,2015-09-16,5,37,0.33522996680891415,0.00855147411624078,0.004551474116240781,specialist_reversal
2015-06-30,2015-09-08,2015-09-09,2015-10-08,21,37,0.40682788051209096,0.015076507857777671,0.011076507857777671,specialist_reversal
2015-06-30,2015-09-08,2015-09-09,2015-12-08,63,37,-0.001896633475580844,-0.010744523890507632,-0.014744523890507632,specialist_reversal
2015-06-30,2015-09-08,2015-09-09,2016-03-10,126,37,0.29445234708392604,0.03136241999442998,0.02736241999442998,specialist_reversal
2015-09-30,2015-12-09,2015-12-10,2015-12-17,5,37,-0.000474158368895211,0.0018728415702090294,-0.0021271584297909707,specialist_reversal
2015-09-30,2015-12-09,2015-12-10,2016-01-12,21,37,-0.021337126600284494,0.007609910626840639,0.0036099106268406393,specialist_reversal
2015-09-30,2015-12-09,2015-12-10,2016-03-14,63,37,-0.027501185395922237,0.01011405394938176,0.00611405394938176,specialist_reversal
2015-09-30,2015-12-09,2015-12-10,2016-06-13,126,37,-0.026789947842579417,0.0065336599957827556,0.0025336599957827555,specialist_reversal
2015-12-31,2016-03-10,2016-03-11,2016-03-18,5,38,0.22770543823175401,-0.0022459212497488567,-0.006245921249748857,specialist_reversal
2015-12-31,2016-03-10,2016-03-11,2016-04-12,21,38,0.19794288215340847,-0.0023414685358457005,-0.0063414685358457006,specialist_reversal
2015-12-31,2016-03-10,2016-03-11,2016-06-10,63,38,0.27388116861801065,0.017638579478164197,0.013638579478164197,specialist_reversal
2015-12-31,2016-03-10,2016-03-11,2016-09-09,126,38,0.014771856877120034,-0.0028775298403936195,-0.0068775298403936196,specialist_reversal
2016-03-31,2016-06-09,2016-06-10,2016-06-17,5,38,-0.25965641755115443,-0.0036228576122627597,-0.00762285761226276,specialist_reversal
2016-03-31,2016-06-09,2016-06-10,2016-07-12,21,38,-0.16533537586169164,-0.0036827142598170326,-0.007682714259817033,specialist_reversal
2016-03-31,2016-06-09,2016-06-10,2016-09-09,63,38,0.05897800634642739,0.01575856047634618,0.011758560476346179,specialist_reversal
2016-03-31,2016-06-09,2016-06-10,2016-12-08,126,38,0.04190830506619981,0.04620302100387989,0.04220302100387989,specialist_reversal
2016-06-30,2016-09-08,2016-09-09,2016-09-16,5,38,-0.011708064339643288,-0.003974698101324464,-0.007974698101324465,specialist_reversal
2016-06-30,2016-09-08,2016-09-09,2016-10-10,21,38,-0.07889265784002626,-0.004473433330592993,-0.008473433330592993,specialist_reversal
2016-06-30,2016-09-08,2016-09-09,2016-12-08,63,38,-0.16883685304737936,-0.041128486624962185,-0.04512848662496219,specialist_reversal
2016-06-30,2016-09-08,2016-09-09,2017-03-13,126,38,-0.11390742969690337,-0.02740238667960157,-0.031402386679601574,specialist_reversal
2016-09-30,2016-12-09,2016-12-12,2016-12-19,5,38,-0.0062370062370062365,-0.003085507948100728,-0.007085507948100728,specialist_reversal
2016-09-30,2016-12-09,2016-12-12,2017-01-12,21,38,-0.14870335922967504,-0.01215409340104618,-0.01615409340104618,specialist_reversal
2016-09-30,2016-12-09,2016-12-12,2017-03-15,63,38,-0.13010176168070903,-0.03957608056635841,-0.04357608056635841,specialist_reversal
2016-09-30,2016-12-09,2016-12-12,2017-06-14,126,38,-0.23076923076923073,-0.06867961420108076,-0.07267961420108077,specialist_reversal
2016-12-31,2017-03-11,2017-03-13,2017-03-20,5,38,0.1281321807637597,0.0036453839568716716,-0.00035461604312832847,specialist_reversal
2016-12-31,2017-03-11,2017-03-13,2017-04-11,21,38,0.04147062041798884,0.004523699036895566,0.0005236990368955663,specialist_reversal
2016-12-31,2017-03-11,2017-03-13,2017-06-12,63,38,0.15680052522157786,0.011353884450076304,0.007353884450076304,specialist_reversal
2016-12-31,2017-03-11,2017-03-13,2017-09-11,126,38,0.09049130101761681,0.01655699208999417,0.012556992089994171,specialist_reversal
2017-03-31,2017-06-09,2017-06-12,2017-06-19,5,38,0.013021118284276179,0.002538122345390398,-0.001461877654609602,specialist_reversal
2017-03-31,2017-06-09,2017-06-12,2017-07-12,21,38,0.01214574898785425,0.001983641587965537,-0.002016358412034463,specialist_reversal
2017-03-31,2017-06-09,2017-06-12,2017-09-11,63,38,-0.18437465805886855,-0.016790506648133623,-0.020790506648133623,specialist_reversal
2017-03-31,2017-06-09,2017-06-12,2017-12-08,126,38,0.20757194441404966,0.005633352845170789,0.0016333528451707886,specialist_reversal
2017-06-30,2017-09-08,2017-09-11,2017-09-18,5,38,0.2325199693620746,0.005720634284028374,0.0017206342840283741,specialist_reversal
2017-06-30,2017-09-08,2017-09-11,2017-10-10,21,38,0.1259437575227049,0.010206880619647286,0.006206880619647286,specialist_reversal
2017-06-30,2017-09-08,2017-09-11,2017-12-08,63,38,0.044534412955465584,0.009672587840181893,0.005672587840181893,specialist_reversal
2017-06-30,2017-09-08,2017-09-11,2018-03-13,126,38,0.0042674253200568986,-0.0029208913854250618,-0.006920891385425062,specialist_reversal
2017-09-30,2017-12-09,2017-12-11,2017-12-18,5,38,-0.30408140934456723,-0.0034307065189202214,-0.0074307065189202215,specialist_reversal
2017-09-30,2017-12-09,2017-12-11,2018-01-11,21,38,-0.14979757085020243,0.007212247981684426,0.003212247981684426,specialist_reversal
2017-09-30,2017-12-09,2017-12-11,2018-03-14,63,38,-0.06510559142138089,-0.01708686851511454,-0.02108686851511454,specialist_reversal
2017-09-30,2017-12-09,2017-12-11,2018-06-13,126,38,0.05109968267863005,0.007554025450260821,0.0035540254502608205,specialist_reversal
2017-12-31,2018-03-11,2018-03-12,2018-03-19,5,38,0.03906335485282854,-0.004079980517440074,-0.008079980517440074,specialist_reversal
2017-12-31,2018-03-11,2018-03-12,2018-04-11,21,38,-0.1051537367326841,-0.013074286939065472,-0.017074286939065472,specialist_reversal
2017-12-31,2018-03-11,2018-03-12,2018-06-11,63,38,0.2073531020899442,0.012452280740007655,0.008452280740007655,specialist_reversal
2017-12-31,2018-03-11,2018-03-12,2018-09-10,126,38,0.21545026808184703,0.03052497739120731,0.02652497739120731,specialist_reversal
2018-03-31,2018-06-09,2018-06-11,2018-06-18,5,38,-0.410219936535726,-0.011314731129333486,-0.015314731129333486,specialist_reversal
2018-03-31,2018-06-09,2018-06-11,2018-07-11,21,38,-0.37520516467884885,-0.0225384290505209,-0.0265384290505209,specialist_reversal
2018-03-31,2018-06-09,2018-06-11,2018-09-10,63,38,-0.34609913557281974,-0.046110732002610164,-0.05011073200261017,specialist_reversal
2018-03-31,2018-06-09,2018-06-11,2018-12-10,126,38,-0.24433745486377065,-0.020752486307765036,-0.024752486307765036,specialist_reversal
2018-06-30,2018-09-08,2018-09-10,2018-09-17,5,38,-0.10777984462194988,-0.0015377744649368265,-0.0055377744649368265,specialist_reversal
2018-06-30,2018-09-08,2018-09-10,2018-10-09,21,38,-0.08874056242477295,0.0031864559188438737,-0.0008135440811561263,specialist_reversal
2018-06-30,2018-09-08,2018-09-10,2018-12-10,63,38,0.20188204398730716,0.017839131858253574,0.013839131858253573,specialist_reversal
2018-06-30,2018-09-08,2018-09-10,2019-03-13,126,38,0.16270926797242588,0.013366450112942543,0.009366450112942543,specialist_reversal
2018-09-30,2018-12-09,2018-12-10,2018-12-17,5,40,-0.0703564727954972,-0.003932270104051061,-0.007932270104051061,specialist_reversal
2018-09-30,2018-12-09,2018-12-10,2019-01-10,21,40,0.06904315196998126,-0.00418614020983793,-0.00818614020983793,specialist_reversal
2018-09-30,2018-12-09,2018-12-10,2019-03-13,63,40,0.09906191369606004,0.0006248203874643643,-0.0033751796125356358,specialist_reversal
2018-09-30,2018-12-09,2018-12-10,2019-06-12,126,40,0.13170731707317074,0.002428902999839555,-0.001571097000160445,specialist_reversal
2018-12-31,2019-03-11,2019-03-12,2019-03-19,5,40,0.02401500938086304,0.0026420912325736956,-0.0013579087674263045,specialist_reversal
2018-12-31,2019-03-11,2019-03-12,2019-04-10,21,40,-0.10168855534709195,-0.0017102305675004703,-0.00571023056750047,specialist_reversal
2018-12-31,2019-03-11,2019-03-12,2019-06-11,63,40,-0.10975609756097562,-0.0028037830516807194,-0.0068037830516807195,specialist_reversal
2018-12-31,2019-03-11,2019-03-12,2019-09-10,126,40,-0.06604127579737337,-0.011416803999274222,-0.015416803999274222,specialist_reversal
2019-03-31,2019-06-09,2019-06-10,2019-06-17,5,40,-0.039212007504690435,-0.002822322594326618,-0.006822322594326618,specialist_reversal
2019-03-31,2019-06-09,2019-06-10,2019-07-10,21,40,-0.03283302063789869,-0.005151437706261169,-0.00915143770626117,specialist_reversal
2019-03-31,2019-06-09,2019-06-10,2019-09-09,63,40,0.03395872420262664,-0.0033866049385034153,-0.007386604938503415,specialist_reversal
2019-03-31,2019-06-09,2019-06-10,2019-12-06,126,40,0.1478424015009381,0.008986291586072587,0.004986291586072587,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-09-16,5,40,0.342323749145298,0.007397243859370017,0.0033972438593700173,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-10-08,21,40,-0.13001876172607885,-0.0008088819276508424,-0.0048088819276508425,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-12-06,63,40,-0.16960600375234522,-0.00593665140460603,-0.00993665140460603,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2020-03-10,126,40,-0.3050656660412759,-0.04091038880997459,-0.0449103888099746,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2019-12-17,5,40,0.16941838649155724,0.007289024930205529,0.0032890249302055287,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-01-10,21,40,0.1887429643527205,0.014625972338730253,0.010625972338730253,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-03-12,63,40,-0.05909943714821765,0.0012847788290686335,-0.0027152211709313666,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-06-11,126,40,-0.020075046904315202,0.029310596988999266,0.025310596988999266,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-03-18,5,40,0.035084427767354605,0.022777173812154106,0.018777173812154106,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-04-09,21,40,-0.07992495309568483,0.013729808444676375,0.009729808444676375,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-06-10,63,40,0.001876172607879925,-0.01309689109111642,-0.01709689109111642,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-09-09,126,40,-0.06829268292682927,-0.026849483266065483,-0.030849483266065483,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-06-17,5,40,-0.37936210131332093,-0.007940541241187912,-0.011940541241187912,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-07-10,21,40,-0.15347091932457788,-0.008129403356123013,-0.012129403356123013,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-09-09,63,40,0.04840525328330207,0.01568553344666697,0.011685533446666969,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-12-08,126,40,0.10487804878048781,0.016529044160695366,0.012529044160695366,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-09-16,5,40,-0.05553470919324579,-0.005906780335966588,-0.009906780335966588,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-10-08,21,40,0.04859287054409006,0.01029751403985081,0.006297514039850811,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-12-08,63,40,0.030581613508442785,0.006465080481911106,0.002465080481911106,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2021-03-11,126,40,-0.03696060037523453,-0.021978967140195205,-0.025978967140195205,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2020-12-17,5,40,-0.09549718574108819,-0.0022229567963866492,-0.006222956796386649,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-01-12,21,40,-0.17354596622889307,-0.013146320914873832,-0.017146320914873833,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-03-15,63,40,-0.1604127579737336,-0.03458600760265709,-0.038586007602657096,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-06-14,126,40,-0.13602251407129456,-0.027181072303673337,-0.031181072303673337,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-03-19,5,40,0.11575984990619138,0.010818237696307784,0.0068182376963077836,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-04-13,21,40,-0.20037523452157602,0.010132721478619586,0.006132721478619586,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-06-11,63,40,-0.1782363977485929,0.0026245446531915906,-0.0013754553468084095,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-09-10,126,40,-0.1607879924953096,0.01842832542744567,0.014428325427445671,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-06-17,5,40,-0.01707317073170732,0.005048220880131224,0.0010482208801312239,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-07-12,21,40,-0.14315196998123828,0.0021556078836525716,-0.0018443921163474285,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-09-09,63,40,-0.09606003752345216,0.004635791412644724,0.0006357914126447241,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-12-08,126,40,-0.04859287054409006,0.01423821943960002,0.01023821943960002,specialist_reversal
2021-06-30,2021-09-08,2021-09-09,2021-09-16,5,40,-0.2088180112570357,-0.0010267855141271043,-0.005026785514127104,specialist_reversal
