period,kind,n,press_excess,rev_excess
2013-09-30,thesis,186,-0.0853564026133333,0.015513729982568943
2013-09-30,placebo,224,-0.0855237370613178,0.013302569147716218
2013-12-31,thesis,114,0.014868090264307337,-0.03043503083859162
2013-12-31,placebo,227,0.0065442717173831745,-0.025720049795809816
2014-03-31,thesis,146,-0.02040156334491197,0.024318772475750518
2014-03-31,placebo,226,-0.028057743116375246,0.022675592062587284
2014-06-30,thesis,96,-0.0025329650574819756,-0.2519576652787082
2014-06-30,placebo,235,0.02426846471705155,-0.23168179869676303
2014-09-30,thesis,164,-0.23927978676869535,-0.05569630188792597
2014-09-30,placebo,239,-0.22911703803791203,-0.056451505670906996
2014-12-31,thesis,182,-0.05963514937200441,0.007533112174960818
2014-12-31,placebo,242,-0.06768744379447414,0.01514712835406549
2015-03-31,thesis,229,0.005722926818302845,-2.000145017724308
2015-03-31,placebo,245,0.012410402897238755,-1.9974268562689326
2015-06-30,thesis,210,0.01585020767240751,0.038302429035757014
2015-06-30,placebo,254,0.01755148080012782,0.014773073420818919
2015-09-30,thesis,200,0.00671806256661768,-0.02606034789971773
2015-09-30,placebo,259,0.02600463810831194,-0.02972504018608242
2015-12-31,thesis,168,-0.009826959720110287,-0.034210608948666565
2015-12-31,placebo,267,-0.029750196815598734,-0.05701795077404302
2016-03-31,thesis,210,-0.05175871971145819,-0.026812800435691515
2016-03-31,placebo,269,-0.05598187613146724,-0.05092744592972379
2016-06-30,thesis,181,-0.017251491756546687,-0.03377443597285909
2016-06-30,placebo,273,-0.035027461078875055,-0.016636734291022623
2016-09-30,thesis,247,-0.02289727923852944,0.016248389941607714
2016-09-30,placebo,275,-0.016955746780038902,0.02349709985669978
2016-12-31,thesis,245,0.017783184735163736,0.008356894254241704
2016-12-31,placebo,280,0.016728722164404082,0.0065670094597387735
2017-03-31,thesis,213,0.011722391604636548,-0.022322071691408207
2017-03-31,placebo,283,0.011440962683535498,-0.044830137930146896
2017-06-30,thesis,261,-0.04783815877130308,-0.020201379208980075
2017-06-30,placebo,292,-0.03108853586832043,-0.019090911366758466
2017-09-30,thesis,222,-0.006540684751558931,-0.043273483834368985
2017-09-30,placebo,296,-0.01607675135265505,-0.047084197267780833
2017-12-31,thesis,266,-0.05000235309616936,0.002094337384135503
2017-12-31,placebo,303,-0.04899486213973855,-0.0030232225631206047
2018-03-31,thesis,274,-0.011467043816350338,0.012152079990406676
2018-03-31,placebo,308,-0.009734009560477097,0.002307607262409535
2018-06-30,thesis,289,0.009904121737267672,-0.02157409651205955
