period,n_passive_elig,excess_A,spread_A,nlead_A,excess_B,spread_B,nlead_B
2013-09-30,0,,,,,,
2013-12-31,0,-0.019593952639253554,0.009378575224317823,78.0,-0.019593952639253554,0.009378575224317823,78.0
2014-03-31,0,-0.010078151119671211,-0.003779810789369259,89.0,-0.010078151119671211,-0.003779810789369259,89.0
2014-06-30,0,-4.76751719657581e-05,0.012971385063994978,95.0,-4.76751719657581e-05,0.012971385063994978,95.0
2014-09-30,0,-0.22259986808890828,0.021078727767897584,97.0,-0.22259986808890828,0.021078727767897584,97.0
2014-12-31,0,-0.04727477278732135,0.0012141040575307654,104.0,-0.04727477278732135,0.0012141040575307654,104.0
2015-03-31,0,-0.00717218652682438,0.0021702909028546366,101.0,-0.00717218652682438,0.0021702909028546366,101.0
2015-06-30,0,-0.0026631523740919746,-0.01350538653379713,96.0,-0.0026631523740919746,-0.01350538653379713,96.0
2015-09-30,0,0.0008608522209764408,0.016740021579801853,95.0,0.0008608522209764408,0.016740021579801853,95.0
2015-12-31,0,-0.013143929709035121,0.021064142196953267,99.0,-0.013143929709035121,0.021064142196953267,99.0
2016-03-31,0,-0.024973991904014434,-0.013604902636307578,93.0,-0.024973991904014434,-0.013604902636307578,93.0
2016-06-30,0,-0.020032266795153,0.002722326798208219,97.0,-0.020032266795153,0.002722326798208219,97.0
2016-09-30,0,-0.012668431000027458,-0.007167222035601398,96.0,-0.012668431000027458,-0.007167222035601398,96.0
2016-12-31,0,0.007527016755910755,-0.02566938140991414,90.0,0.007527016755910755,-0.02566938140991414,90.0
2017-03-31,0,-0.003765280255077018,-0.010090017620721838,94.0,-0.003765280255077018,-0.010090017620721838,94.0
2017-06-30,0,-0.026337813758251657,-0.029118186662438247,90.0,-0.026337813758251657,-0.029118186662438247,90.0
2017-09-30,0,0.006120451003494037,-0.006555943602189099,91.0,0.006120451003494037,-0.006555943602189099,91.0
2017-12-31,0,-0.017084965402724826,0.009908440950792859,86.0,-0.017084965402724826,0.009908440950792859,86.0
2018-03-31,0,0.004513798053194511,0.005886840367150599,96.0,0.004513798053194511,0.005886840367150599,96.0
2018-06-30,0,-0.02308930516727989,-0.02788795303151917,97.0,-0.02308930516727989,-0.02788795303151917,97.0
2018-09-30,1,-0.004314250456143087,-0.014843997643793405,102.0,-0.004314250456143087,-0.014843997643793405,101.0
2018-12-31,0,-0.01148953469542498,-0.007948067791653576,103.0,-0.01148953469542498,-0.008878863141560958,103.0
2019-03-31,0,0.020997905588055095,-0.04015844918329492,103.0,0.020997905588055095,-0.04015844918329492,103.0
2019-06-30,0,0.012062157027254036,0.007641440020300594,108.0,0.012062157027254036,0.007641440020300594,108.0
2019-09-30,1,-0.019827075737822705,-0.05710775361076315,106.0,-0.019827075737822705,-0.05710775361076315,105.0
2019-12-31,0,-0.028665557274925202,-0.03751070285407044,102.0,-0.028665557274925202,-0.038155353543420284,102.0
2020-03-31,0,-0.06418337514112857,-0.022933175814799506,98.0,-0.06418337514112857,-0.022933175814799506,98.0
2020-06-30,0,-1.0220103910021088,-0.005076430424078238,95.0,-1.0220103910021088,-0.005076430424078238,95.0
2020-09-30,0,-0.15429536883845874,-0.04016900615835317,103.0,-0.15429536883845874,-0.04016900615835317,103.0
2020-12-31,0,0.005978139597811468,0.02534360315883091,91.0,0.005978139597811468,0.02534360315883091,91.0
2021-03-31,0,0.02582176641410199,0.0027591230414947534,89.0,0.02582176641410199,0.0027591230414947534,89.0
2021-06-30,0,-0.004393056679895771,0.002384889081381736,83.0,-0.004393056679895771,0.002384889081381736,83.0
2021-09-30,0,0.029387820179662794,-0.014300623991829506,90.0,0.029387820179662794,-0.014300623991829506,90.0
2021-12-31,0,-0.03617610753283901,0.03933467327989887,87.0,-0.03617610753283901,0.03933467327989887,87.0
2022-03-31,0,-0.018425675097500288,-0.021077597325178304,97.0,-0.018425675097500288,-0.021077597325178304,97.0
2022-06-30,0,0.002709284579646906,-0.0005392848519411089,100.0,0.002709284579646906,-0.0005392848519411089,100.0
2022-09-30,0,-0.022712357598826782,-0.015778663907038387,98.0,-0.022712357598826782,-0.015778663907038387,98.0
2022-12-31,0,0.019485930957388493,-0.009755866533563043,106.0,0.019485930957388493,-0.009755866533563043,106.0
2023-03-31,0,0.014783204076043513,-0.006723313066152113,102.0,0.014783204076043513,-0.006723313066152113,102.0
2023-06-30,0,0.03378597504492845,0.005579858055393013,95.0,0.03378597504492845,0.005579858055393013,95.0
2023-09-30,0,-0.01825846937686232,-0.014830783957390459,96.0,-0.01825846937686232,-0.014830783957390459,96.0
2023-12-31,0,-0.002735426137488249,-0.02252215602250631,90.0,-0.002735426137488249,-0.02252215602250631,90.0
