factor,lag,ew_spread_mean_q,ew_spread_t_nw,ew_spread_sharpe,vw_spread_mean_q,vw_spread_t_nw,vw_spread_sharpe,ic_mean,ic_ir,ic_pos_frac,monotonicity,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,turnover_1s,net_5bps,net_10bps,net_20bps,net_50bps,breakeven_bps,n_events
dacwb,30,-0.0021566363645009997,-0.48564868407583345,-0.1510247736443617,-0.03249987993379782,-1.516698920730062,-0.5905394592672215,0.0008509808602339153,0.01617288861056186,0.5483870967741935,0.5,0.033998721861125715,0.02730107848922298,0.03307622394179711,0.03466561909440501,0.031842085496624706,0.7440908788996482,-0.003644818122300296,-0.005132999880099592,-0.008109363395698184,-0.017038453942493963,-7.245876900447311,31
dacwb,45,-0.004355698804940642,-1.1493198806953187,-0.35410091849797937,-0.018157493871131872,-1.0448227957252618,-0.2553705263385482,-0.0007738429709071389,-0.019645589820867327,0.4772727272727273,0.5,0.03835039892748707,0.031298161237266316,0.027525132006821752,0.028483618220500426,0.033994700122546434,0.7126316283778331,-0.005780962061696308,-0.007206225318451975,-0.010056751831963306,-0.018608331372497303,-15.280330789048545,44
dacwb,60,-0.005062953752670678,-1.0824561367473884,-0.3789363171234346,-0.01942495894256866,-1.6278549380703478,-0.5729047568589007,-0.009007786857100568,-0.1763701425111415,0.5227272727272727,0.25,0.0370184992574047,0.03582818345728454,0.03170491156591995,0.02992991610073846,0.031955545504734034,0.710026086662135,-0.006483005925994947,-0.007903058099319217,-0.010743162445967756,-0.019263475485913374,-17.826646963324453,44
days_adv,30,0.007523819283607097,0.46158232286796996,0.1765194708779046,-0.011283840169224135,-0.17991170134727152,-0.0596733484325259,0.018353297548424966,0.1597586812195994,0.5483870967741935,0.75,0.0244830261484039,0.031000236694962664,0.03257672366038203,0.03312428077641578,0.032006845432010995,0.410723570472084,0.006702372142662929,0.005880925001718761,0.004238030719830425,-0.0006906521258345823,45.79612557272553,31
days_adv,45,0.0018323053829236858,0.1731237019762056,0.048412341594943537,0.06547614536547765,1.676820377514811,0.5244687600108872,0.0005808491986651037,0.0055354716139448664,0.4772727272727273,0.25,0.02570768678897828,0.03748311387131183,0.03219847191415234,0.03019689970580283,0.02753999217190197,0.3215153741337826,0.0011892746346561206,0.0005462438863885553,-0.0007398176101465752,-0.004598002099751967,14.247416533814516,44
days_adv,60,-0.004205563778747695,-0.422435269141369,-0.15809966461859495,0.07534529584182056,1.834221196772582,0.739380023366259,-0.0023079612833489626,-0.02559382331304256,0.45454545454545453,0.5,0.031790378064929674,0.03875737738988113,0.02972100761512785,0.033428422883611836,0.027584814286181977,0.2947235381154173,-0.0047950108549785295,-0.005384457931209364,-0.006563352083671033,-0.010100034541056041,-35.673803029440634,44
dio,30,-0.002241892846671642,-0.43657162303565394,-0.09144920510849501,0.05833574987456669,1.0802670217174288,0.35550366538344835,-0.006190745319980275,-0.12189026415123576,0.4838709677419355,0.25,0.027874950133325114,0.03368218073445766,0.033300140953033054,0.03272133380825183,0.02563305728665347,0.26376895479059176,-0.002769430756252826,-0.0032969686658340094,-0.004352044484996376,-0.007517271942483477,-21.248642097129082,31
dio,45,0.0019582622847223678,0.43932530446744344,0.1264521169871945,0.0014594709370754839,0.05999007953720007,0.01912662683721919,-0.000264605645961389,-0.0061918597814990435,0.5,0.25,0.027739386278458202,0.03276078170961954,0.03157301171306858,0.03140095793916027,0.029697648563180575,0.7065289249296578,0.0005452044348630521,-0.0008678534149962635,-0.0036939691147148948,-0.012172316213870788,6.929165302458539,44
dio,60,0.0010260215375079004,0.20037484980898573,0.06465940547500407,-0.006860266368246518,-0.45423769841367034,-0.092726749608386,0.0014009066170313207,0.02730188536203528,0.5454545454545454,0.5,0.03197645238822394,0.031304388249876684,0.03371874516544953,0.0312564558936669,0.03300247392573184,0.7758298900894721,-0.000525638242671044,-0.0020772980228499884,-0.005180617583207877,-0.014490576264281543,3.306206523538217,44
dnuminst,30,-0.025694730066018617,-2.0794467272167236,-0.7577822958794306,-0.034498710031661474,-0.5152633622080298,-0.1835344796608934,-0.039296742260426905,-0.4634110672597357,0.3225806451612903,0.25,0.03703508949726272,0.03230804901187528,0.03660920944289372,0.03222336461884794,0.011340359431244104,0.2186636088820847,-0.026132057283782786,-0.026569384501546955,-0.027444038937075293,-0.03006800224366031,-293.7700767560574,31
