,dbreadth,dbreadth_common,breadth_level,dio,pso,days_adv,d_days_adv,herf_holders,conviction_top,new_conviction,ti,vi,entry_rate,exit_rate,net_entry,dio_2q,late_minus_early_dio,conf_reveal
dbreadth,1.0,0.7875079881631473,0.06050456445068225,0.15695947744814662,0.024600287506642296,0.04117718792137014,0.2836407853206677,-0.09289818451852697,0.1134650834765095,0.12070171313879373,0.5741875321404533,0.22506673707518265,0.4627173854490946,-0.41487936814230464,0.7919567923858619,0.12228844537219591,0.17334984025650174,-0.0632216039559681
dbreadth_common,0.7875079881631473,1.0,0.0754838793745897,0.09191951907742825,0.02314993085219008,0.01523098974671972,0.2749647972604521,-0.07051636961467402,0.12634680205573853,0.1318951147594698,0.5308550398971317,0.17108695357704487,0.5208716079941329,-0.3336472703145522,0.7158461716935031,0.07732784710511363,0.08244958912273173,-0.026992602331854507
breadth_level,0.06050456445068225,0.0754838793745897,1.0,-0.13142725736927086,0.369688232525755,0.007947533368373748,0.019910324758823945,-0.5847554147259417,0.8987557125547719,0.8330676694472473,-0.02511139291207038,-0.06340890956126176,-0.2561667741198167,-0.35308438333844006,0.08757162016713112,-0.1264731732792516,-0.035044314692896365,0.6076173085726287
dio,0.15695947744814662,0.09191951907742825,-0.13142725736927086,1.0,-0.11632379093384013,0.03136514874560932,0.4599371194432156,0.08793934277655667,-0.09401310460084061,-0.04471975748875953,0.21275325258279204,0.7197018032390228,0.13814367183859763,-0.09551954698424164,0.19932568466320755,0.6847932226504695,0.5738505745803912,-0.15785749045306713
pso,0.024600287506642296,0.02314993085219008,0.369688232525755,-0.11632379093384013,1.0,0.2959881440301771,0.028633062991070386,-0.2933855422702863,0.3574331080527457,0.2807103153899183,0.011649943116575832,0.07392146061667623,-0.030629515214240295,-0.07392967784556961,0.03634023893075857,-0.07527967881680915,0.10686737283388496,0.31350870707758366
days_adv,0.04117718792137014,0.01523098974671972,0.007947533368373748,0.03136514874560932,0.2959881440301771,1.0,-0.036729873176859905,0.06700432092822835,0.08774522059601178,-0.008670912532235193,-0.0027988234031832895,-0.004216313635964625,-0.2537501468427986,-0.3075403954783014,0.03575441342030132,0.03853374852002563,0.12313859420481953,-0.0017886764694224101
d_days_adv,0.2836407853206677,0.2749647972604521,0.019910324758823945,0.4599371194432156,0.028633062991070386,-0.036729873176859905,1.0,-0.010992054196822764,0.07124135705472469,0.07613734444192234,0.22844049934565466,0.4914016896740368,0.2312977524827429,-0.14535313637723304,0.3097622913430597,0.3421779647011678,0.344954089004223,-0.0388745093323287
herf_holders,-0.09289818451852697,-0.07051636961467402,-0.5847554147259417,0.08793934277655667,-0.2933855422702863,0.06700432092822835,-0.010992054196822764,1.0,-0.551770274220692,-0.5086164544571843,-0.04004671742173404,-0.010064664762990104,0.08374121440506921,0.18520238968596034,-0.0993142458256056,0.07651942064988551,0.02808020280377762,-0.39172936883730936
conviction_top,0.1134650834765095,0.12634680205573853,0.8987557125547719,-0.09401310460084061,0.3574331080527457,0.08774522059601178,0.07124135705472469,-0.551770274220692,1.0,0.8998945545177491,0.023077983770283698,-0.030643204603774996,-0.21114176709893778,-0.360098463159453,0.1327226797361617,-0.08435657079692388,0.0005138436213049654,0.4954560604722948
new_conviction,0.12070171313879373,0.1318951147594698,0.8330676694472473,-0.04471975748875953,0.2807103153899183,-0.008670912532235193,0.07613734444192234,-0.5086164544571843,0.8998945545177491,1.0,0.05177641698887894,0.02920769072502363,-0.16960853113928964,-0.3216491868246076,0.13611703739764963,-0.047168070777446315,0.014159684692710348,0.41467780010229277
ti,0.5741875321404533,0.5308550398971317,-0.02511139291207038,0.21275325258279204,0.011649943116575832,-0.0027988234031832895,0.22844049934565466,-0.04004671742173404,0.023077983770283698,0.05177641698887894,1.0,0.3927912232599479,0.5472470741678221,-0.31294866220772133,0.7215455885480665,0.17685258175892382,0.20919406634930862,-0.10275155631860441
vi,0.22506673707518265,0.17108695357704487,-0.06340890956126176,0.7197018032390228,0.07392146061667623,-0.004216313635964625,0.4914016896740368,-0.010064664762990104,-0.030643204603774996,0.02920769072502363,0.3927912232599479,1.0,0.30574652535656605,-0.12699087626668945,0.32306578249688983,0.5105719118772825,0.5893941822180992,-0.10281485524236385
entry_rate,0.4627173854490946,0.5208716079941329,-0.2561667741198167,0.13814367183859763,-0.030629515214240295,-0.2537501468427986,0.2312977524827429,0.08374121440506921,-0.21114176709893778,-0.16960853113928964,0.5472470741678221,0.30574652535656605,1.0,0.2016594344428654,0.5901818527005643,0.1261103590545775,0.1078564738296097,-0.16107412099197668
exit_rate,-0.41487936814230464,-0.3336472703145522,-0.35308438333844006,-0.09551954698424164,-0.07392967784556961,-0.3075403954783014,-0.14535313637723304,0.18520238968596034,-0.360098463159453,-0.3216491868246076,-0.31294866220772133,-0.12699087626668945,0.2016594344428654,1.0,-0.5393158439783983,-0.04752508352431554,-0.14791385833127874,-0.07801996844296769
net_entry,0.7919567923858619,0.7158461716935031,0.08757162016713112,0.19932568466320755,0.03634023893075857,0.03575441342030132,0.3097622913430597,-0.0993142458256056,0.1327226797361617,0.13611703739764963,0.7215455885480665,0.32306578249688983,0.5901818527005643,-0.5393158439783983,1.0,0.14997428634310278,0.21638091086055167,-0.06562300671275932
dio_2q,0.12228844537219591,0.07732784710511363,-0.1264731732792516,0.6847932226504695,-0.07527967881680915,0.03853374852002563,0.3421779647011678,0.07651942064988551,-0.08435657079692388,-0.047168070777446315,0.17685258175892382,0.5105719118772825,0.1261103590545775,-0.04752508352431554,0.14997428634310278,1.0,0.4028255694479864,-0.1538625851639712
late_minus_early_dio,0.17334984025650174,0.08244958912273173,-0.035044314692896365,0.5738505745803912,0.10686737283388496,0.12313859420481953,0.344954089004223,0.02808020280377762,0.0005138436213049654,0.014159684692710348,0.20919406634930862,0.5893941822180992,0.1078564738296097,-0.14791385833127874,0.21638091086055167,0.4028255694479864,1.0,-0.0752649185576588
conf_reveal,-0.0632216039559681,-0.026992602331854507,0.6076173085726287,-0.15785749045306713,0.31350870707758366,-0.0017886764694224101,-0.0388745093323287,-0.39172936883730936,0.4954560604722948,0.41467780010229277,-0.10275155631860441,-0.10281485524236385,-0.16107412099197668,-0.07801996844296769,-0.06562300671275932,-0.1538625851639712,-0.0752649185576588,1.0
