signal,version,headline,theorem,n_events,spread_ew_q,t_ew,sharpe_ew,spread_vw_q,t_vw,ic,ic_ir,mono,expected
new_conviction,resid,True,True,49,0.021809810068866575,3.5392598172092735,1.0756914687474792,0.09114511228605099,2.0586413977535827,0.023112432480449474,0.31034033122721094,0.576530612244898,ACP + flow: conviction expressed by NEW/raised positions; fresher subset of best ideas
conviction_top,resid,True,True,49,0.02233027609223622,2.3881202420893017,0.6453442713989772,0.06502199034655326,1.6473977879094812,0.02441339804435049,0.22765257098921,0.5816326530612245,"ACP best ideas: +2.8-4.5%/yr, 6-factor alpha 25-36 bps/mo"
breadth_level,resid,True,True,49,0.01933611930979929,1.4778506366211885,0.3624351536734817,0.060792530103126796,1.5526244578408206,0.02733331539415188,0.19507005518091078,0.5459183673469388,CHS: LEVELS are weak; expected ~null after size
late_minus_early_dio,raw,True,False,49,0.006794147012549378,1.236928911172417,0.33843057789140735,-0.013465342231898735,-0.2781120386701888,-0.000900522931077735,-0.016510571435992064,0.5306122448979592,Christoffersen-Danesh-Musto: strategic LATE filers hide information; their demand minus early filers' demand should carry the informative component. Original construction.
entry_rate,raw,True,False,49,0.013352095185734401,1.2303453299943456,0.3567983484242983,-0.08066442438768777,-2.1219594718826142,0.004278801384592026,0.04718136812499771,0.5714285714285714,CHS mechanism: new holders = optimists arriving; positive
dbreadth_common,raw,True,False,49,0.004906424113312877,1.0700051094727132,0.2661460860565423,-0.03476028572503736,-1.3483328327626585,0.007769161075038114,0.12506372811043173,0.5,CHS variant; competitor's lesson: delta over common filers only removes universe-churn noise
exit_rate,raw,True,False,49,0.011234825730587818,0.8861219927163685,0.2372248108854984,-0.026645893146358044,-0.6681365120274366,0.0011069141645431808,0.008649520197672463,0.5357142857142857,complete exits are the strongest negative statement a long-only book can make (the only 'short' it has); NEGATIVE
ti,raw,True,False,49,0.0030689893457478455,0.5599825979178964,0.1336741821142062,-0.031451733535912275,-0.6256146825393208,0.000860150995416708,0.013573042336433656,0.5102040816326531,paper's contrarian edge lives INSIDE the disclosure window (our replica): honest-timing expectation ~0 or follow(+)
vi,raw,True,False,49,0.0016402774152838974,0.3709642988088694,0.08662873735024199,0.02115736233850993,0.4009913110715273,-0.0036109048293159634,-0.07758963455126623,0.5255102040816326,same as ti; volume version (composition-flow sensitive)
net_entry,raw,True,False,49,0.001943638325671327,0.33111315637594496,0.07209514276909264,0.025061251192195415,0.485057226940847,0.002225349924852734,0.027932290275754588,0.5102040816326531,"entry minus exit; CHS direction, positive"
