period,top_forced_quarters
2018-09-30,"2014-06-30,2013-09-30,2014-03-31,2018-03-31,2018-06-30"
2018-12-31,"2014-06-30,2013-09-30,2014-03-31,2018-12-31,2018-03-31"
2019-03-31,"2014-06-30,2013-09-30,2014-03-31,2018-12-31,2018-03-31"
2019-06-30,"2014-06-30,2013-09-30,2018-12-31,2014-03-31,2016-12-31"
2019-09-30,"2014-09-30,2013-12-31,2015-06-30,2017-06-30,2016-12-31"
2019-12-31,"2013-09-30,2013-12-31,2014-03-31,2018-06-30,2016-12-31"
2020-03-31,"2013-09-30,2013-12-31,2014-03-31,2018-06-30,2016-12-31"
2020-06-30,"2013-09-30,2013-12-31,2014-03-31,2018-06-30,2016-12-31"
2020-09-30,"2014-09-30,2013-09-30,2019-12-31,2014-03-31,2015-06-30"
2020-12-31,"2013-09-30,2013-12-31,2018-06-30,2014-03-31,2016-06-30"
2021-03-31,"2013-09-30,2013-12-31,2018-06-30,2014-03-31,2016-12-31"
2021-06-30,"2013-09-30,2013-12-31,2014-03-31,2018-06-30,2016-06-30"
2021-09-30,"2014-09-30,2013-09-30,2019-12-31,2017-06-30,2015-06-30"
2021-12-31,"2013-09-30,2013-12-31,2014-03-31,2018-06-30,2020-06-30"
2022-03-31,"2014-09-30,2013-09-30,2017-06-30,2019-12-31,2015-06-30"
2022-06-30,"2013-09-30,2013-12-31,2014-03-31,2016-06-30,2020-06-30"
2022-09-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-12-31"
2022-12-31,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-12-31"
2023-03-31,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-12-31"
2023-06-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-12-31"
2023-09-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-12-31"
2023-12-31,"2014-09-30,2013-12-31,2015-06-30,2019-12-31,2016-12-31"
2024-03-31,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2024-06-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2024-09-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2024-12-31,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2025-03-31,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2025-06-30,"2013-09-30,2013-12-31,2014-03-31,2020-06-30,2016-06-30"
2025-09-30,"2013-12-31,2013-09-30,2014-03-31,2020-06-30,2016-06-30"
2025-12-31,"2013-09-30,2013-12-31,2014-03-31,2016-06-30,2020-06-30"
