period,spread_ew,ic,n
2014-09-30,0.014095618818249757,0.00976401612775567,1138
2014-12-31,-0.013619677398561347,-0.06753233513351772,1155
2015-03-31,0.017066296967534804,0.08581088299361002,1179
2015-06-30,0.028952298262197636,0.03166255980757968,1202
2015-09-30,0.010762137576561526,0.045934386805293076,1225
2015-12-31,0.03165720918543463,0.04336452701048647,1246
2016-03-31,-0.015248301843366188,-0.06802271130636313,1259
2016-06-30,0.005179808342525183,-0.015921171957195838,1288
2016-09-30,-0.03408013901013335,-0.05921660251172513,1313
2016-12-31,0.05965764695861312,0.17009223083536093,1339
2017-03-31,-0.033078202784341336,-0.04659396394244958,1369
2017-06-30,-0.039499335584014916,-0.07832952783687798,1383
2017-09-30,0.02261693853157573,0.07070021355493984,1411
2017-12-31,0.005773105575138653,0.013223984506316086,1441
2018-03-31,-0.02874512826433885,-0.039320065621836396,1468
2018-06-30,-0.004576287029208523,-0.016272042532829812,1491
2018-09-30,0.032195145847998145,0.05490255859150398,1521
2018-12-31,0.01298345506058525,-0.0009845301460641538,1545
2019-03-31,-0.015330645929681277,-0.02870237682763316,1580
2019-06-30,0.0619933743420473,0.08597573626024586,1633
2019-09-30,0.019089600156367945,-0.005287100086349056,1660
2019-12-31,0.046130446643956005,0.08338281155997776,1698
2020-03-31,0.055833119067584314,0.1345545329470165,1696
2020-06-30,0.09629916873629951,0.1978064427899459,1735
2020-09-30,-0.3226245896855563,-0.2938140198261386,1812
2020-12-31,-0.053614754872210096,-0.09382582195317649,1865
2021-03-31,0.053184349164887706,0.13910906842252396,1910
2021-06-30,-0.0055154003789855965,-0.06020387572724118,1959
2021-09-30,-0.04628209540424963,-0.045843738193845913,1985
2021-12-31,-0.11218764168246567,-0.17757061985411102,2051
2022-03-31,0.1250452704348029,0.1763789428300329,2126
2022-06-30,-0.04631347620586926,-0.08420869273840478,2206
2022-09-30,0.008774055177700746,0.027540192724253447,2283
2022-12-31,-0.02642369912173767,-0.018462167945131162,2430
2023-03-31,0.015788713230208404,0.03453675053485574,2494
2023-06-30,-0.03753747003912048,0.06430346477880834,2530
2023-09-30,0.07746036520258515,0.06456269419679028,2549
2023-12-31,0.01995088459578661,0.05922698826422711,2574
2024-03-31,0.003193344425046457,-0.0057528511198269424,2577
2024-06-30,0.05676660202391315,0.04919006369218643,2591
2024-09-30,-0.0035950962358759636,-0.0069377258194950565,2599
2024-12-31,0.012680381068386995,0.044368307577495936,2642
2025-03-31,0.033997410108442316,0.05688853777647754,2652
2025-06-30,-0.012146516859611212,0.005701521461065805,2654
2025-09-30,-0.03863760905402738,-0.06131070876557709,2709
2025-12-31,-0.003600244280461129,-0.008258153854395926,2673
