signal,version,headline,n_events,spread_ew_q,t_ew,sharpe_ew,spread_vw_q,t_vw,ic,ic_ir,mono
new_conv,resid,True,50,0.01843247822669664,3.6327201056765026,1.1149946619867626,0.09565632251418524,2.267990479945642,0.019715856561032623,0.3072006219408525,0.58
intensive,raw,True,50,0.006663255511443271,1.7708319951283737,0.4388168926833482,0.034641506218005644,1.483330162426822,0.006161294125649959,0.13617138687636318,0.525
agreement,raw,True,50,0.005206216202741983,1.3539943388042839,0.31845877028511366,-0.026413985033212253,-0.5846124917527613,0.0026276434226590196,0.06516270023836312,0.5
cohort2,raw,True,45,0.006336275475909027,1.3427229833539327,0.3938628252931215,0.05247606285120343,1.802080844817872,-0.0036613025531176697,-0.08307070443907658,0.4777777777777778
votes_sum,raw,True,50,0.011500090317113361,1.0675076145675038,0.2520956387076095,-0.04388681813277496,-1.4896342367022735,0.002310773045902151,0.022281946559208055,0.52
pressure,raw,True,50,0.004873605907507421,0.9646821372224055,0.22092170685884394,0.018536387984282515,0.7383836224674043,-0.0021884387362825857,-0.029764901981131783,0.515
extensive,raw,True,50,0.005674911988505647,0.931558695400512,0.19344841188383072,0.08442244733558345,1.282657805483543,0.007400449597484057,0.08764817903610492,0.52
signed_frag,raw,True,44,0.003341244207124433,0.6598850320246054,0.1557126087719922,-0.007536276384913,-0.5191936631872988,-0.0041541432730420776,-0.058616340115536764,0.5170454545454546
press_placebo,raw,True,50,0.004719584591418651,0.6318174524642083,0.11002106047882226,0.02531466127716478,1.0522884327452444,-0.006671565200822705,-0.06822644296545936,0.48
ti_like,raw,True,50,0.0033737509753268293,0.6129472296758738,0.1461726069266034,-0.04654114462238737,-0.9813547090667153,0.0020531953808033245,0.03182627450143017,0.505
cohort4p,raw,True,45,0.0026749955443608024,0.4513180119930191,0.11605772548741404,-0.0479354617469813,-1.6765256097788406,-0.012211055554466508,-0.2854941176257127,0.4888888888888889
cab_norm,raw,True,46,0.002468335339120478,0.42726320879053425,0.11113564097069414,-0.034995026441347866,-0.6635805085708182,0.002964161449277412,0.06371391963124821,0.5163043478260869
cohort3,raw,True,45,0.001587141978985658,0.38201590974852373,0.11547116518996789,0.009718070282989575,0.3598785501452127,-0.006281919093503724,-0.1517502259769474,0.46111111111111114
cab_sum,raw,True,46,0.000480602236230058,0.13742499253908147,0.023858838719153987,0.008042310030985511,0.27382899438064656,0.006765747307447306,0.11912804376151481,0.5054347826086957
cohort0,raw,True,45,-0.004412157056472527,-0.5891087655343998,-0.13717098160702934,0.027417879863683655,0.709586849588102,0.006799192767613774,0.11678948152151301,0.4888888888888889
cont_score,resid,True,46,-0.00442724585444907,-0.738724600645578,-0.1617766430913475,-0.003921780434083321,-0.22710038061778168,0.0024828859426920978,0.04809901846447081,0.5108695652173914
cohort1,raw,True,45,-0.00467549592188624,-0.9205440927431439,-0.23472556391002986,-0.03125795774568964,-1.0278592474683401,-0.018589064750337524,-0.3652062929590776,0.48333333333333334
buycap,resid,True,46,-0.010242111115336516,-1.5681486480363067,-0.39795586626636464,0.016138407483060214,0.6880710042482906,-0.002622357661521777,-0.042262047675997796,0.5271739130434783
buycap,raw,False,46,0.022165147260726544,2.5135623806538647,0.734036756044501,-0.10183175402363197,-1.5026395785924604,0.0003375148394336848,0.0038846065560436582,0.5597826086956522
extensive,resid,False,50,0.011286996323225072,2.1145569600136653,0.43105322749555736,0.006591841954825978,0.15909907360384218,0.00856783279467972,0.11023164194944803,0.515
agreement,resid,False,50,0.006914021670294582,2.0637843183528197,0.4732374304402966,-0.01942624019724673,-0.609514673873475,0.003948426684308224,0.10664624259761574,0.54
cont_score,raw,False,46,0.009432045073173214,1.8599524647899843,0.5064239364215515,0.056028902704049754,1.2806646821222452,0.0055644668722087485,0.11871962543063766,0.5271739130434783
intensive,resid,False,50,0.005264072667094861,1.489655906435775,0.3717602157437132,0.024097207008612828,0.9747930691470482,0.00325555803367172,0.07627535703776488,0.525
cohort2,resid,False,45,0.007372364004670328,1.4313157597757415,0.44657391420091047,0.06885927023604188,1.9004169516700518,0.002975694328317117,0.06898967152875851,0.5
ti_like,resid,False,50,0.006135013344315465,1.1336046337619645,0.2672781018805638,-0.05069032448061775,-1.606340154511412,0.0020456693539722954,0.03412812580531028,0.515
cohort3,resid,False,45,0.003640468094556971,0.93164011714406,0.26132656656955006,0.0025233369858079923,0.11999893225053937,-0.0006661610558814487,-0.01651642132519963,0.4777777777777778
press_placebo,resid,False,50,0.005578823852487669,0.8563930680996525,0.1571318524536,0.0034034583171988183,0.24029933736230089,-0.0060457866007386655,-0.06693141563213467,0.48
pressure,resid,False,50,0.00469440066853603,0.7914345844560086,0.21395822923342647,0.005452998043685721,0.2697097292140101,0.0009694450175918906,0.013139104245842265,0.475
signed_frag,resid,False,44,0.004670889625509745,0.763387624116078,0.22814231521983497,0.020223498514013075,0.8003307898354398,-0.0019515872793308942,-0.027528317134905538,0.5284090909090909
cab_sum,resid,False,46,0.0017254729760140554,0.5284007196064289,0.11112121286222634,-0.014957296432898419,-0.45703937669428213,0.003786978172148826,0.08267965520826594,0.4782608695652174
cohort4p,resid,False,45,0.0028545334890119098,0.5185489021335108,0.14076721634232928,0.02086843924326503,1.1096197501640457,-0.0063109437306101005,-0.16914947355446525,0.49444444444444446
cab_norm,resid,False,46,0.0013257798933770993,0.24835563077554512,0.06161238252494201,-0.0610788680757909,-1.9123588068349442,0.0023172778714509253,0.05825383039233325,0.4945652173913043
