period,h,spread,n
2014-03-31,15,-0.022944498522180112,845
2014-03-31,30,0.007230159104882308,1002
2014-03-31,45,0.004074928636405829,1078
2014-03-31,60,-0.012840213941761356,1080
2014-06-30,15,-0.01637787074636122,828
2014-06-30,30,-0.01651086118434182,1008
2014-06-30,45,-0.008987470745254968,1098
2014-06-30,60,-0.003235338286224224,1099
2014-09-30,15,0.020137869615493784,925
2014-09-30,30,0.0071366975018713735,1040
2014-09-30,45,-0.008482428630601314,1132
2014-09-30,60,-0.011422771862758533,1133
2014-12-31,15,-0.004683740859519767,766
2014-12-31,30,-0.012364559031452498,1049
2014-12-31,45,-0.0032435850424753047,1137
2014-12-31,60,-0.010868746746428057,1143
2015-03-31,15,-0.009273614989154326,954
2015-03-31,30,0.00036894129710354773,1080
2015-03-31,45,0.008855838804585443,1167
2015-03-31,60,0.005290018483450874,1168
2015-06-30,15,-0.02290096652064097,912
2015-06-30,30,-0.006945648378377474,1133
2015-06-30,45,0.011373092787630278,1174
2015-06-30,60,0.0015768956963348394,1175
2015-09-30,15,0.022676092192575287,971
2015-09-30,30,0.018367237681662936,1115
2015-09-30,45,0.012785164933136469,1205
2015-09-30,60,-0.0009016782372466142,1207
2015-12-31,15,-0.02529126041271551,962
2015-12-31,30,-0.03798616921328849,1121
2015-12-31,45,-0.03283653778748595,1224
2015-12-31,60,-0.025569036250602424,1230
2016-03-31,15,0.003532294075413625,1033
2016-03-31,30,0.006569489261136164,1163
2016-03-31,45,0.0021157847937110577,1260
2016-03-31,60,-0.007288880440280545,1267
2016-06-30,15,0.005786659972128481,1107
2016-06-30,30,-0.0006868601540872526,1183
2016-06-30,45,-0.0036082779331799673,1272
2016-06-30,60,0.00370496862892334,1273
2016-09-30,15,-0.008928531251617203,1145
2016-09-30,30,-0.006482306222575382,1223
2016-09-30,45,-0.0012094235038750609,1298
2016-09-30,60,-0.0008276667210623673,1303
2016-12-31,15,-0.0021956916467154447,1096
2016-12-31,30,0.014320057123618085,1213
2016-12-31,45,0.006593118517033169,1311
2016-12-31,60,-0.0007873497183793184,1313
2017-03-31,15,-0.013238850802843052,1112
2017-03-31,30,-0.011795053872937871,1240
2017-03-31,45,-0.00220658831750197,1337
2017-03-31,60,-0.00775090812607385,1339
2017-06-30,15,0.024826422196931493,1184
2017-06-30,30,-0.0038902205613526447,1273
2017-06-30,45,-0.011928348253110975,1362
2017-06-30,60,0.0013682307837683955,1367
2017-09-30,15,0.02078780666874509,1078
2017-09-30,30,0.002188657905690908,1307
2017-09-30,45,0.007908931470996715,1401
2017-09-30,60,0.009030060570883645,1403
2017-12-31,15,-0.020629493059939205,975
2017-12-31,30,-0.0002047072018331441,1271
2017-12-31,45,-0.01804023031119298,1412
2017-12-31,60,-0.009463739185554959,1415
2018-03-31,15,-0.0006443698929344405,1038
2018-03-31,30,0.007702645542392653,1295
2018-03-31,45,0.0250232376322109,1437
2018-03-31,60,0.019361747737897145,1440
2018-06-30,15,0.010641088388391447,1035
2018-06-30,30,0.026110453478296547,1352
2018-06-30,45,0.0016701540977285476,1470
2018-06-30,60,0.010156162612363651,1472
2018-09-30,15,0.0033439461858733727,1140
2018-09-30,30,-0.014331534897486717,1379
2018-09-30,45,0.012467215226350498,1516
2018-09-30,60,0.01414332280750906,1520
2018-12-31,15,0.008038917954012154,1150
2018-12-31,30,0.0009917087990184842,1460
2018-12-31,45,-0.016260174295157373,1572
2018-12-31,60,-0.025476179312007904,1574
2019-03-31,15,0.030177169289629834,1289
2019-03-31,30,-0.0005743621048774558,1474
2019-03-31,45,-0.006624787811922227,1603
2019-03-31,60,-0.007400237851122244,1603
2019-06-30,15,0.012791127888402058,1283
2019-06-30,30,-0.020635718321375573,1521
2019-06-30,45,-0.004391692029744598,1634
2019-06-30,60,-0.010830430679659081,1638
2019-09-30,15,-0.0016148387753232435,1336
2019-09-30,30,-0.03235520253374441,1553
2019-09-30,45,-0.01058877331304308,1695
2019-09-30,60,-0.001865508597528761,1697
2019-12-31,15,0.036514806712169556,1254
2019-12-31,30,0.005889611904599967,1612
2019-12-31,45,0.009181844774870995,1734
2019-12-31,60,0.00603555282884255,1736
2020-03-31,15,0.027693556219376553,1322
2020-03-31,30,-0.015304270722625968,1618
2020-03-31,45,0.0022324459186500722,1760
2020-03-31,60,-0.0024249509983818238,1763
2020-06-30,15,-0.002844932078108514,1390
2020-06-30,30,-0.024636546173709053,1647
2020-06-30,45,0.03079854834035839,1778
2020-06-30,60,0.008669711993410885,1782
2020-09-30,15,-0.0012895169714288168,1448
2020-09-30,30,0.00020910970925086536,1690
2020-09-30,45,-0.06094387528716062,1813
2020-09-30,60,-0.02584404595832077,1824
2020-12-31,15,-0.0378140452325665,1407
2020-12-31,30,-0.013455227269916131,1701
2020-12-31,45,0.005059865220688978,1865
2020-12-31,60,-0.004083030409543699,1876
2021-03-31,15,-0.005167231737106259,1497
2021-03-31,30,0.007315247775939018,1815
2021-03-31,45,0.027106282309864824,1949
2021-03-31,60,0.007249413503472475,1959
2021-06-30,15,0.011899755031062775,1528
2021-06-30,30,-0.009027050096758096,1851
2021-06-30,45,0.01695851785335191,2014
2021-06-30,60,0.003691498905676485,2023
2021-09-30,15,0.022774536306872165,1615
2021-09-30,30,-0.02029056746243424,1964
2021-09-30,45,0.04270838397068688,2089
2021-09-30,60,0.0203174077202943,2120
2021-12-31,15,0.021541564082838534,1555
2021-12-31,30,0.00024259811761027233,2006
2021-12-31,45,9.011116637106832e-05,2230
2021-12-31,60,-0.005778327923993859,2236
2022-03-31,15,0.04484154670777296,1720
2022-03-31,30,0.015812820888034443,2087
2022-03-31,45,0.017485482821525615,2314
2022-03-31,60,-0.014194828665819378,2330
2022-06-30,15,0.017613756142469413,1752
2022-06-30,30,0.02453355456058321,2135
2022-06-30,45,-0.003243866310211743,2351
2022-06-30,60,0.016547065512609448,2367
2022-09-30,15,0.03565099492608116,1733
2022-09-30,30,-0.010236266460377504,2123
2022-09-30,45,-0.00540946625723345,2396
2022-09-30,60,-0.013976568324929101,2399
2022-12-31,15,0.006715514102926964,1722
2022-12-31,30,0.009359473901157107,2088
2022-12-31,45,0.020618009059058737,2421
2022-12-31,60,0.010059108617258249,2425
2023-03-31,15,-0.002012779401764239,1770
2023-03-31,30,-0.019163321187171067,2218
2023-03-31,45,-0.03402728991739123,2532
2023-03-31,60,-0.010560553402275977,2533
2023-06-30,15,0.010777989333186785,1801
2023-06-30,30,-0.01014329529418339,2232
2023-06-30,45,-0.0043950179574377135,2544
2023-06-30,60,-0.005315748363559917,2549
2023-09-30,15,0.014204184400143371,1915
2023-09-30,30,0.00091070649526237,2251
2023-09-30,45,-0.00851235427968891,2570
2023-09-30,60,0.008157682220394771,2576
2023-12-31,15,0.008285756942771845,1843
2023-12-31,30,-0.0041185423347110985,2237
2023-12-31,45,0.021075591077153705,2592
2023-12-31,60,0.01844867078986784,2596
2024-03-31,15,0.032288802705969046,1915
2024-03-31,30,0.014097730000292227,2317
2024-03-31,45,0.0034657493988553,2604
2024-03-31,60,0.0008224679631530889,2615
2024-06-30,15,0.010251482883195807,2031
2024-06-30,30,-0.000674110399531443,2351
2024-06-30,45,0.0017502172660609633,2639
2024-06-30,60,0.013930720404496458,2643
2024-09-30,15,0.006674990349496299,2109
2024-09-30,30,0.0038611267432490035,2366
2024-09-30,45,0.012698222762897345,2668
2024-09-30,60,-0.006531551461982317,2670
2024-12-31,15,-0.004019345824203671,1971
2024-12-31,30,-0.004034726703412109,2365
2024-12-31,45,0.03444043073649758,2737
2024-12-31,60,0.006647006323872544,2739
2025-03-31,15,-0.01292789507334069,2139
2025-03-31,30,-0.03473973697217271,2368
2025-03-31,45,0.001472736602248316,2793
2025-03-31,60,-0.0007239083500414009,2796
2025-06-30,15,-0.029764514772976133,2106
2025-06-30,30,-0.010732368420743765,2437
2025-06-30,45,-0.04704636512607001,2827
2025-06-30,60,-0.03018808153806702,2831
2025-09-30,15,0.0029603763134996124,2132
2025-09-30,30,0.004507418460608391,2478
2025-09-30,45,-0.011360092383129142,2906
2025-09-30,60,0.0026222816691093,2906
2025-12-31,15,-0.002715364303293104,2179
2025-12-31,30,0.0005179879214491437,2568
2025-12-31,45,0.013705434271925516,2890
2025-12-31,60,0.0015337746238639066,2941
2026-03-31,15,0.01218380065574353,2190
2026-03-31,30,-0.0012416971744775435,2555
2026-03-31,45,0.058570386401886144,2982
2026-03-31,60,0.040444954476535934,2985
