period,panel,model,ndcg
2014-06-30,mega,persist,0.9961992029899988
2014-06-30,mega,ema,0.996892101813488
2014-06-30,mega,persist,0.9968865758994486
2014-06-30,mega,ema,0.9968865758994486
2014-06-30,mega,persist,0.9971383955324516
2014-06-30,mega,ema,0.9970404550213661
2014-06-30,mega,persist,0.9780659051016986
2014-06-30,mega,ema,0.9780430265770444
2014-06-30,mega,persist,0.9780506193770172
2014-06-30,mega,ema,0.9788775905916003
2014-06-30,mega,persist,0.9762309798260111
2014-06-30,mega,ema,0.9765109056533297
2014-06-30,mega,persist,0.9832582034436108
2014-06-30,mega,ema,0.9830934818304244
2014-06-30,mega,persist,1.0
2014-06-30,mega,ema,1.0
2014-06-30,mega,persist,0.9998006860903255
2014-06-30,mega,ema,0.9996958305775571
2014-06-30,mega,persist,0.9929926841080472
2014-06-30,mega,persist,0.9355542811842177
2014-06-30,mega,ema,0.8739951471183869
2014-06-30,mega,persist,0.9811330483869044
2014-06-30,mega,ema,0.9883289097681671
2014-06-30,mega,persist,0.9777532833636444
2014-06-30,mega,ema,0.9770182483032376
2014-06-30,mega,persist,0.9576934088853065
2014-06-30,mega,ema,0.935480856307489
2014-06-30,mega,persist,0.9810473946774033
2014-06-30,mega,ema,0.9806743595894374
2014-06-30,mega,persist,0.9822182865630051
2014-06-30,mega,ema,0.9653968091587892
2014-06-30,mega,persist,0.9751144354141352
2014-06-30,mega,ema,0.9701862877377956
2014-06-30,mega,persist,0.9865342373246978
2014-06-30,mega,ema,0.9860402727932389
2014-06-30,mega,persist,0.9885221962884572
2014-06-30,mega,ema,0.9895197064947058
2014-06-30,mega,persist,0.996115656709401
2014-06-30,mega,ema,0.988744468280581
2014-06-30,mega,persist,0.9928067356577084
2014-06-30,mega,ema,0.991085689030882
2014-06-30,mega,persist,0.9998740850179306
2014-06-30,mega,ema,0.9963013403082508
2014-06-30,mega,persist,0.9825907243297897
2014-06-30,mega,ema,0.999393434241956
2014-06-30,mega,persist,0.9705129490340417
2014-06-30,mega,persist,0.9823924793450673
2014-06-30,mega,ema,0.9785914325820687
2014-06-30,mega,persist,0.9805040206209308
2014-06-30,mega,ema,0.9802900071664897
2014-06-30,mega,persist,0.7681127862581334
2014-06-30,mega,ema,0.8195559414476782
2014-06-30,mega,persist,0.991664126241411
2014-06-30,mega,ema,0.9840894209668942
2014-06-30,mega,persist,0.9366330760194632
2014-06-30,mega,ema,0.9471728026552435
2014-06-30,mega,persist,0.9986937600514009
2014-06-30,mega,ema,0.9987223193625396
2014-06-30,mega,persist,0.9184109343515806
2014-06-30,mega,ema,0.9126568185276294
2014-06-30,mega,persist,0.984401600172417
