signal,ann_net,vol,sharpe,max_dd,hit,n_rebals,start
breadth_level,-0.005641284559016653,0.16396392714498512,-0.034405644322170616,-0.8939435539624863,0.41416970036404366,171,2012-06-01
champion_v1,0.024465909270616995,0.06296169511004952,0.3885840307801991,-0.2068286915446018,0.4528143377205265,171,2012-06-01
conviction_top,0.01742943743769041,0.11747791519081086,0.1483635235557342,-0.5062097098856511,0.44917390086810416,171,2012-06-01
copycat_flow,0.019340898812060504,0.054984125423229814,0.3517542320294744,-0.15466194980354697,0.44777373284794175,171,2012-06-01
d_days_adv,0.023137123486859427,0.10567557034997456,0.218944865026366,-0.30013613691984803,0.45645477457294875,171,2012-06-01
days_adv,-0.01891854640850723,0.14435559959680555,-0.13105516143016235,-0.9080638038942416,0.4250910109213106,171,2012-06-01
dbreadth,0.016037821342286894,0.11726444272524969,0.13676627773572822,-0.5140312069912023,0.46485578269392325,171,2012-06-01
dbreadth_common,0.012703302858860427,0.10653255011261925,0.11924339411223447,-0.36588883611605283,0.46233548025763094,171,2012-06-01
dio,-0.008295400901300248,0.05958457818475181,-0.13922060294828284,-0.18570543047504576,0.43937272472696726,171,2012-06-01
dio_2q,-0.01615095518508969,0.05975335163735806,-0.2702937114408164,-0.34892028385126944,0.4276113133576029,171,2012-06-01
entry_rate,0.015365387024275751,0.14792204035021447,0.10387489915564481,-0.6944404802120603,0.4570148417810137,171,2012-06-01
exit_rate,-0.0014417363142826653,0.14504388618867944,-0.00994000058994001,-0.6342919435961301,0.44077289274712966,171,2012-06-01
fm_score,0.03311054275164913,0.13902741980722422,0.23815836327510284,-0.6065815803971573,0.34052086250350044,160,2012-06-01
herf_holders,-0.043065275148441634,0.07664123295772428,-0.5619073896188058,-0.7599638141340462,0.4108092971156539,171,2012-06-01
ica_comb,-0.004453967385748814,0.06078889960441503,-0.07326941949489289,-0.24360136741242255,0.26631195743489217,108,2012-06-01
ica_rev,0.002053020687251731,0.05245926520584778,0.03913552123148829,-0.16859918383534941,0.2674320918510221,108,2012-06-01
late_minus_early_dio,-0.003778640366322594,0.0629107871053321,-0.06006347305742626,-0.1739296007863134,0.43629235508260994,171,2012-06-01
nc_v0,0.02082546156138637,0.0650720595496144,0.3200369206926351,-0.2539504352826283,0.451414169700364,171,2012-06-01
net_entry,0.01270448737325285,0.11814052746095896,0.10753708017302706,-0.4074104864920893,0.4626155138616634,171,2012-06-01
new_conviction,0.01015703762999942,0.07828162135047824,0.12974996499529412,-0.309991656927129,0.4539344721366564,171,2012-06-01
nmf_crowd,0.011463152225125834,0.11431041964631433,0.10028090405576108,-0.4364603047381513,0.48389806776813216,171,2012-06-01
pso,-0.004346834567008227,0.0690435381534363,-0.06295787677259822,-0.23614067657473237,0.4368524222906749,171,2012-06-01
ssi,-0.02949685552301736,0.09126978514421938,-0.32318313751268385,-0.5102214768257262,0.42201064127695326,171,2012-06-01
ti,-0.0028131641998556164,0.10678758295530894,-0.026343551581581706,-0.6015330319104742,0.45645477457294875,171,2012-06-01
vi,-0.0024857824591088804,0.07082317534067065,-0.03509843278209251,-0.26429353015990764,0.442733127975357,171,2012-06-01
