period,beta_f,gamma,n_obs
2013-09-30,1.0,0.0,0
2013-12-31,0.8861089441248463,-0.18394314148818072,184683
2014-03-31,0.9020189711719241,-0.10212512326579827,377711
2014-06-30,0.879551454879796,-0.10055341627196568,574665
2014-09-30,0.8702100690238536,-0.1083825732625308,780007
2014-12-31,0.8790314499684416,-0.11143718804234173,992285
2015-03-31,0.8844383648674887,-0.11608776128185144,1204226
2015-06-30,0.8810336719881987,-0.13054283000984138,1426689
2015-09-30,0.8827010192071829,-0.14884059138762065,1653142
2015-12-31,0.8877277805549934,-0.14963851844187345,1882213
2016-03-31,0.8850541893682273,-0.14954889109349362,2108820
2016-06-30,0.8981811154833333,-0.15820318458590082,2351194
2016-09-30,0.8981891965570362,-0.16866100083249966,2593329
2016-12-31,0.8822344400919201,-0.16346640041547608,2847893
2017-03-31,0.8461896090019377,-0.1621487387971027,3105596
2017-06-30,0.8400002034661453,-0.19977014486078257,3373107
2017-09-30,0.8363646828112841,-0.2554097058868243,3648263
2017-12-31,0.8337213596834242,-0.25961794196759774,3931717
2018-03-31,0.8372827725491667,-0.29044574847911026,4214279
2018-06-30,0.8280323670238431,-0.2859699268623556,4527278
2018-09-30,0.8233066824342744,-0.29939156118129245,4843796
2018-12-31,0.814665859307796,-0.28925947643958094,5172673
2019-03-31,0.8174998444936559,-0.2899754940812353,5510374
2019-06-30,0.8092603630972479,-0.2917267825041334,5835161
2019-09-30,0.8043329007020549,-0.2837909994968586,6184370
2019-12-31,0.8026948578060815,-0.27703231139347756,6542709
2020-03-31,0.8014693598819982,-0.2772906978514285,6903809
2020-06-30,0.8115108464771615,-0.2755661066366783,7292825
2020-09-30,0.7897304825406457,-0.2697486869994237,7635858
2020-12-31,0.774453525492774,-0.25185410626791516,8030406
2021-03-31,0.7671125770653533,-0.24801267374546604,8447946
2021-06-30,0.7613343288776955,-0.25124459048468156,8907748
2021-09-30,0.7499122041764686,-0.24754644730368044,9395962
2021-12-31,0.7447720564627427,-0.25548052560109324,9911361
2022-03-31,0.7446961233176718,-0.2539301003685285,10437361
2022-06-30,0.7451012595580314,-0.2525879462396694,11003167
2022-09-30,0.7486143954033797,-0.24965366816951082,11569936
2022-12-31,0.7506879235669818,-0.25156599782567735,12109296
2023-03-31,0.7692905662067848,-0.25501334402403075,12633886
2023-06-30,0.7739242749549551,-0.25626420264412325,13147283
2023-09-30,0.7758573160221941,-0.25713746895827455,13663193
2023-12-31,0.7803012811141713,-0.2574392219984945,14187113
2024-03-31,0.7837604513476552,-0.25138777225361236,14715602
2024-06-30,0.7868768194227095,-0.25220095664402664,15262166
2024-09-30,0.7943048317426185,-0.25373434877894935,15846011
2024-12-31,0.799249693901084,-0.2521058614975637,16447261
2025-03-31,0.8042026589273268,-0.24597674978841833,17078332
2025-06-30,0.8081327113516565,-0.2416443488516814,17711505
2025-09-30,0.8104945211266223,-0.23683471354848704,18339032
2025-12-31,0.8149348671768596,-0.23338936763320495,18981125
