period,n_scored,n_shocked_mgrs,long_excess,spread_internal,gate_pass
2013-09-30,492,132,-0.07736427564753247,-0.029421292035173616,0.49949238578680205
2013-12-31,563,136,-0.03128433875199985,0.006856151009733702,0.4982300884955752
2014-03-31,540,142,-0.019502743774661685,-0.03248709212524532,0.49953746530989823
2014-06-30,579,146,-0.02265791790780225,-0.04691238871349162,0.49742268041237114
2014-09-30,537,150,-0.21406223428065643,0.0191127725984417,0.5
2014-12-31,601,150,-0.03721023663537929,-0.02766259095799336,0.5004163197335554
2015-03-31,563,154,0.002849788524601545,0.008690135850915898,0.49867139061116034
2015-06-30,619,154,-0.015960118577400283,-0.043534455580466605,0.5008090614886731
2015-09-30,616,152,0.020645475315574854,0.020243506977305842,0.5
2015-12-31,645,146,0.0042309972999778345,0.021182514532849722,0.4988399071925754
2016-03-31,643,154,-0.02559665061569852,-0.06714634618692054,0.49922360248447206
2016-06-30,637,153,-0.004358488272289587,-0.04117653406291752,0.4996078431372549
2016-09-30,686,157,-0.0421435029115129,-0.05737606681524892,0.4996358339402768
2016-12-31,689,159,-0.0004299445334345754,-0.058167768305317245,0.49963741841914433
2017-03-31,702,164,-0.007812608944677531,-0.0050131090552130875,0.499644128113879
2017-06-30,707,169,-0.04619975740069658,-0.08081049322498532,0.49964664310954066
2017-09-30,732,171,0.006424961786800076,0.016324680601637775,0.49762066621346024
2017-12-31,714,172,-0.024824355261084115,-0.02826540907689371,0.4982554082344731
2018-03-31,740,184,-0.030184962271734797,-0.029712060314542973,0.4983164983164983
2018-06-30,766,183,-0.016775640629636906,-0.01417912672277774,0.4980494148244473
2018-09-30,790,191,-0.03009143687090935,-0.05862647037865159,0.5
2018-12-31,786,195,-0.005780546052429657,0.014245078820996512,0.4993646759847522
2019-03-31,799,187,0.018798622256562626,0.0235869200863092,0.4996873045653533
2019-06-30,827,198,-0.01812777520142439,-0.02419066285893577,0.4987937273823884
2019-09-30,839,205,0.04593303364341211,0.04257756224321477,0.49881093935790727
2019-12-31,880,205,0.006974938814112864,0.018292878316893305,0.4980192416525184
2020-03-31,904,219,-0.01178892743603599,-0.12786058984884538,0.49291166848418755
2020-06-30,864,194,-1.0476910204650065,-0.09096410126673217,0.49884526558891457
2020-09-30,935,225,-0.005487281246635445,-0.25294231119035226,0.4973404255319149
2020-12-31,952,237,-0.0002791994464143358,0.08267468911709326,0.4981684981684982
2021-03-31,989,260,0.0017053166700666741,-0.01637637956056171,0.4972347913524384
2021-06-30,1025,270,-0.045210260247476056,-0.08538530074928845,0.4985408560311284
2021-09-30,1018,282,-0.02733980622244317,0.028628650837734,0.4997545409916544
2021-12-31,1132,282,-0.06137476094614172,-0.005531240935774284,0.499558693733451
2022-03-31,1197,300,0.004511763819213768,-0.02695270726569901,0.49812734082397003
2022-06-30,1174,297,-0.06473924739074398,-0.029367822193477583,0.49893752656183593
2022-09-30,1207,278,-0.08935890957164784,-0.15890496193379366,0.49917287014061207
2022-12-31,1191,268,-0.07190781551795397,-0.11751443276664354,0.49937106918238994
2023-03-31,1210,262,-0.041726442919130406,-0.08303063945528308,0.5027004570004154
2023-06-30,1274,268,0.1124127864529531,0.11641941666922662,0.4982401251466562
2023-09-30,1250,275,-0.03352383638885195,-0.12790927605018418,0.49800796812749004
2023-12-31,1293,272,-0.048857837346048996,-0.16560536112953955,0.4982658959537572
2024-03-31,1290,287,0.028102436731276263,-0.008956714774999354,0.49845440494590415
2024-06-30,1272,306,-0.04354921413957362,-0.12254549226927376,0.49668098399062866
2024-09-30,1323,311,-0.0005038278201692642,-0.05099335862659862,0.49680811115283513
2024-12-31,1262,322,-0.049683638546435295,-0.05824419875092304,0.4994064107637515
2025-03-31,1328,328,-0.03201035264529299,-0.07055708907484362,0.4975646309479206
2025-06-30,1298,320,-0.031620704812898096,-0.09155262893642963,0.49712753734201454
2025-09-30,1365,332,-0.032637592968074884,-0.023939577031896135,0.4990859232175503
2025-12-31,1464,343,-0.058591630368528144,-0.42510856808224995,0.4945945945945946
