period,long_all,long_filtered,n_all,n_filt
2013-09-30,0.04060994549680124,0.03199549296812221,119,78
2013-12-31,0.018506774905909455,0.015703037370490197,127,84
2014-03-31,0.047284034051507946,0.0607543873460197,131,91
2014-06-30,0.028003886641654728,0.03287509158792514,134,92
2014-09-30,0.04295691269299039,0.041076790288176436,128,93
2014-12-31,0.030257325581132425,0.026266489085867623,119,80
2015-03-31,-0.00132711063819699,-0.007432431638220454,136,80
2015-06-30,-0.06012356240366865,-0.05027726487747336,139,95
2015-09-30,-0.08666725134382536,-0.06501485612368385,128,79
2015-12-31,0.1352928124765762,0.14461924326141243,126,94
2016-03-31,0.09035591085754205,0.08565556242865711,127,94
2016-06-30,0.007879784150529638,0.005906441680068112,126,87
2016-09-30,0.09167853708412385,0.08839212590859456,138,94
2016-12-31,0.0064827800301291705,0.011478642027008911,144,93
2017-03-31,0.03682057701028711,0.038877090868974305,148,103
2017-06-30,0.09045139766110533,0.08500143253871457,145,90
2017-09-30,0.06771884619182181,0.06299068875933024,151,94
2017-12-31,0.024839646250374096,0.030293300746104344,161,113
2018-03-31,0.06407722847032032,0.058420179470574214,159,111
2018-06-30,-0.07972553997404797,-0.056290589104081724,157,105
2018-09-30,0.0678624191494866,0.05533011207084772,166,111
2018-12-31,0.04700477811690951,0.0358730029755827,170,113
2019-03-31,-0.0163881038552825,0.003963483183836844,163,110
2019-06-30,0.07197062541585256,0.07768718984559383,169,111
2019-09-30,0.09088190197917803,0.0673372048536909,171,114
2019-12-31,-0.14958231883554304,-0.15401240921585682,178,119
2020-03-31,0.2214033003307818,0.22759416118882642,170,114
2020-06-30,0.10576931918211185,0.10236131404458966,185,127
2020-09-30,0.16765794068575202,0.14702008795541077,158,105
2020-12-31,0.0903040471154451,0.09398023756548904,165,130
2021-03-31,0.02138050719569681,0.02352506350587251,175,128
2021-06-30,0.08449437542592614,0.08083746651514233,178,130
2021-09-30,-0.07503413944845934,-0.06358182600184498,169,122
2021-12-31,-0.0625896879666042,-0.050155951124654055,220,149
2022-03-31,0.08225236026119452,0.08583261722189481,183,127
2022-06-30,-0.037698827242713645,-0.03976544279927703,174,120
2022-09-30,0.07435607798436905,0.06799094987714799,205,139
2022-12-31,-0.02848282827955154,-0.023689270766536884,203,144
2023-03-31,0.07122742252704867,0.07375105922337041,203,148
2023-06-30,-0.027352455355338718,-0.026051517187634213,202,140
2023-09-30,0.1230346061655895,0.11475191699778127,206,136
2023-12-31,0.08690240533216917,0.08481510516511431,206,140
2024-03-31,-0.001018749947909402,-0.01721589422975402,214,137
2024-06-30,0.1282274428516157,0.13710396877424352,211,136
2024-09-30,0.01811237829906675,0.014627153191176545,220,148
2024-12-31,-0.02790914843229197,-0.022394833130817266,215,154
2025-03-31,0.07447351407382441,0.0829770888492004,217,151
2025-06-30,0.02602265664211936,0.009358233198608781,222,154
2025-09-30,0.045747154959280015,0.03558555276133409,221,153
2025-12-31,0.0072285451399836985,0.005475839895757786,191,150
