period,tag,ticker,gd,car1,car3,car5,car10
2020-06-30,exhaust_long,BTU,2073,0.06885433600715585,0.0824539723694917,0.10630906833433018,0.2438127150074303
2020-06-30,exhaust_long,ANAB,2074,0.027249133107580925,-0.011676575183071303,-0.035212759020128104,-0.07379018745941701
2020-06-30,exhaust_long,ARQT,2074,0.022728120744935576,0.011865844957408944,0.01507824947755576,0.026333294742225344
2020-06-30,exhaust_long,BTU,2074,0.019186667044726047,-0.008498484087633429,0.0722347959708034,0.1652237994957093
2020-06-30,exhaust_long,PHAT,2074,0.025017195522610947,-0.040850924725271076,-0.010753735893063499,0.01682441467402529
2020-06-30,exhaust_long,PSNL,2074,0.03760524042370594,0.024651877579827453,-0.025253544770599268,0.027294702462503206
2020-06-30,exhaust_long,TARA,2074,-0.025855983872925314,-0.1269198548045143,-0.08734553701527847,-0.08245649588824921
2020-06-30,exhaust_long,ARQT,2075,-0.02018845646815992,0.00031463312576918145,0.011066855180307478,0.027686808562805698
2020-06-30,exhaust_long,PCVX,2075,-0.04475424994186916,-0.10993885129972258,-0.1781046039475368,-0.02748188256051165
2020-06-30,exhaust_long,PHAT,2075,-0.06028907833382047,-0.05616958790043736,-0.04614556622378052,-0.004722583668921421
2020-06-30,exhaust_long,PSNL,2075,-0.00196898459002548,-0.0405242285789591,-0.08129336074990245,0.0057282423461522125
2020-06-30,exhaust_long,XCUR,2077,-0.0153368332226258,0.009679722005830671,0.044332916641997344,0.07959752436386369
2020-06-30,exhaust_long,TARA,2078,0.012237828976825904,-0.08207508537186814,-0.0884338623563159,-0.01901915410052124
2020-06-30,exhaust_long,TRVG,2078,0.0027590928137621873,-0.022059076121444754,-0.05062956683576658,-0.043564035439926485
2020-06-30,exhaust_long,MIRM,2079,-0.05488134213893314,-0.06284757516226491,0.0055295310556244814,-0.0334693849029748
2020-06-30,exhaust_long,BLNK,2080,0.006568239812687171,-0.06439281644880568,0.021501492370336717,0.3674256017369264
2020-06-30,exhaust_long,CRSP,2080,0.02677835272940543,-0.01908543541275609,0.024427673190662302,0.0953597443231764
2020-06-30,exhaust_long,XCUR,2080,-0.019747561315808015,-0.03218228642754839,0.047075927963376674,0.029170782780714832
2020-06-30,exhaust_long,PCVX,2081,0.025783093598816254,0.12709362815966052,0.28793889797382133,0.470421416804527
2020-06-30,exhaust_long,CEVA,2082,-0.009570788096451732,-0.00601878263370248,-0.028242263009767177,0.022617949176048757
2020-06-30,exhaust_long,MIRM,2082,-0.0296799625019305,0.0661708724697142,0.09354841983817674,0.008582369929153622
2020-06-30,exhaust_long,PCVX,2082,0.0649367870996258,0.12010190524924069,0.29244745989364307,0.35406690467823454
2020-06-30,exhaust_long,PSNL,2082,0.004308023554657092,0.05271723166309861,0.10296729672110061,0.07472334233710964
2020-06-30,exhaust_long,TARA,2082,-0.014713495598140391,0.08734035907021831,0.1031885390573567,0.0012925629535652794
2020-06-30,exhaust_long,PCVX,2083,0.036373747461218464,0.19721901727537927,0.2602698717690134,0.3020547365762043
2020-06-30,exhaust_long,TARA,2084,-0.0035068777918123573,0.012341302195326032,-0.1046672364211717,-0.13354689208469273
2020-06-30,exhaust_long,MAC,2085,0.04546810162896442,0.028658859076777787,-0.06336225710858079,-0.05396799056310364
2020-06-30,exhaust_long,KRNT,2087,0.02675175492670634,0.0996952058471432,0.058737985608732,0.126984993762705
