date,ret,n
2020-08-28,0.06865433600715584,1
2020-08-31,0.01767386285933715,7
2020-09-01,-0.02608268142047566,11
2020-09-02,-0.01486999763174774,11
2020-09-03,0.004407852813650624,12
2020-09-04,-0.0007830900087924101,13
2020-09-08,-0.016384957271868943,8
2020-09-09,-0.014306093367248838,7
2020-09-10,0.013895287266125968,8
2020-09-11,-0.011573686540446602,12
2020-09-14,0.061524855938321625,11
2020-09-15,0.003400333189090407,11
2020-09-16,0.05901619560605457,9
2020-09-17,0.012177395642644813,8
2020-09-18,-0.004809234644406517,4
2020-09-21,-0.021756748298860235,4
2020-09-22,0.00495650935223259,3
2020-09-23,0.005080615779737929,2
2020-09-24,-0.007175633590813285,3
2020-09-25,0.00044831408040348157,6
2020-09-28,-0.018778973292715977,7
2020-09-29,0.0028911340227372215,14
2020-09-30,-0.009988713686814968,21
2020-10-01,0.005292149752286366,21
2020-10-02,-0.000671793211990145,18
2020-10-05,0.021819532042726544,19
2020-10-06,0.01715087013644636,12
2020-10-07,0.0015674450394940482,9
2020-10-08,0.015382786576775082,11
2020-10-09,-0.020041675402819484,12
2020-10-12,-0.026203596795804196,10
2020-10-13,0.020340078614503175,10
2020-10-14,0.025398505880127743,7
2020-10-15,0.023933249673561766,6
2020-10-16,0.0014303794600864842,7
2020-10-19,0.05783100670698338,8
2020-10-20,-0.009735947906687484,12
2020-10-21,-0.009501209560279934,11
2020-10-22,0.0072237602552213025,9
2020-10-23,0.007765756118863348,9
2020-10-26,-0.009437855050365348,11
2020-10-27,0.008572166546269975,9
2020-10-28,-0.011062910584297375,15
2020-10-29,-0.005670611105649252,16
2020-10-30,-0.02326051814545998,16
2020-11-02,0.011357093424809823,17
2020-11-03,0.00030531862636221086,16
2020-11-04,-0.023722884293898412,15
2020-11-05,0.0010431618510047997,15
2020-11-06,-0.017912676856732073,15
2020-11-09,0.047778977148323194,12
2020-11-10,0.014738965997758013,17
2020-11-11,-0.015302040577269096,16
2020-11-12,-0.0014647969007735753,19
2020-11-13,-0.0025803719720798365,19
2020-11-16,0.0030712903157219195,18
2020-11-17,0.01687964258432487,12
2020-11-18,0.008492252612056085,12
2020-11-19,0.005766356239356361,8
2020-11-20,-0.002307631281857469,5
2020-11-23,0.0376344163475651,4
2020-11-24,0.09640002008915163,4
2020-12-01,-0.011137288902283405,1
2020-12-02,0.010538899964517935,2
2020-12-03,-0.004125108394919366,3
2020-12-04,0.021994731536256806,3
2020-12-07,0.04185600860653585,4
2020-12-08,0.01724098232639313,4
2020-12-09,-0.06652849566121992,7
2020-12-10,-0.006707690589204936,6
2020-12-11,0.03799142708472186,7
2020-12-14,0.03813522005766351,10
2020-12-15,-0.014871954842455003,11
2020-12-16,-0.01720699781498615,9
2020-12-17,0.009043745872326503,10
2020-12-18,-0.00786752859069002,10
2020-12-21,0.029038072932918036,8
2020-12-22,-0.004029768174787501,8
2020-12-23,-0.0018521479743109416,11
2020-12-24,-0.022919158557616875,14
2020-12-28,-0.03531354251015062,15
2020-12-29,-0.0005627044768109719,15
2020-12-30,-0.013962478940739709,14
2020-12-31,-0.0412572241300861,12
2021-01-04,0.011968384469758024,9
2021-01-05,0.020032064520087784,13
2021-01-06,0.013714412340214581,11
2021-01-07,0.008634049082861042,12
2021-01-08,0.008135037474640934,16
2021-01-11,0.0131258180207127,17
2021-01-12,0.03716494034632117,11
2021-01-13,0.022112841264684473,15
2021-01-14,0.024948508162135324,13
2021-01-15,-0.005542976084299374,11
2021-01-19,0.03830841218337006,9
2021-01-20,0.0036739758288524774,9
2021-01-21,-0.00831187246846312,5
2021-01-22,0.025386024732825488,6
2021-01-25,0.006042896499070469,3
2021-01-26,-0.026400815217947002,6
2021-01-27,-0.03120405606006182,8
2021-01-28,-0.00020666538033172616,8
2021-01-29,0.011058119108660497,12
2021-02-01,0.05877411278370133,13
2021-02-02,0.017072467629525225,13
2021-02-03,-0.008769735671316847,13
2021-02-04,0.02424995440764366,13
2021-02-05,0.01861800769938613,10
2021-02-08,0.04183181412014621,7
2021-02-09,0.026688266530982163,4
2021-02-10,-0.01460035448801117,3
2021-02-11,-0.005681087123272553,4
2021-02-12,0.0483773951488162,2
2021-02-16,0.0006940693810772239,2
2021-02-17,0.0026180346977186116,3
2021-02-18,-0.03544612597863234,4
2021-02-19,0.061811284967600855,3
2021-02-22,-0.043309845173151416,3
2021-02-23,-0.04383770327712213,3
2021-02-24,0.02799781346991701,2
2021-03-02,-0.031004235156973436,5
2021-03-03,0.02186380054793235,6
2021-03-04,-0.012407191284539891,7
2021-03-05,-0.036465129659253,9
2021-03-08,-0.025580920485902745,14
2021-03-09,0.031335254658969316,11
2021-03-10,-0.012519134192269498,20
2021-03-11,0.051144503070851666,24
2021-03-12,-0.021581324082536848,28
2021-03-15,0.0149757869865809,24
2021-03-16,-0.01545468545393483,24
2021-03-17,0.0033572438002839947,14
2021-03-18,-0.015926473710950306,10
2021-03-19,0.021956877018649325,4
2021-03-22,0.004355747664058963,10
2021-03-23,-0.00403605533902595,8
2021-03-24,-0.022705899262868697,9
2021-03-25,-0.004342014113599995,9
2021-03-26,-0.021671405080026702,20
2021-03-29,-0.03327188632583885,14
2021-03-30,0.025465846418631602,17
2021-03-31,0.03656767751297319,31
2021-04-01,0.0008313925046828422,42
2021-04-05,-0.012342144607085657,33
2021-04-06,0.001976138531126979,34
2021-04-07,-0.01895562543492482,32
2021-04-08,-0.003916040998376621,17
2021-04-09,-0.031164122884846216,6
2021-04-12,-0.02250654065778491,5
2021-04-13,0.019587765559054893,7
2021-04-14,0.01453151193700622,11
2021-04-15,-0.00045049157174283046,14
2021-04-16,-0.03582271484310658,15
2021-04-19,-0.015272453440151063,15
2021-04-20,0.009570791828915426,12
2021-04-21,0.015683170710794926,8
2021-04-22,0.023841977670117732,11
2021-04-23,0.015363468317309609,12
2021-04-26,0.03132729829666707,15
2021-04-27,0.00860983737892021,15
2021-04-28,0.008440304242183647,14
2021-04-29,-0.01817152278901444,8
2021-04-30,-0.021115791012454997,5
2021-05-03,0.03820612502215112,2
2021-05-04,-0.011778139442511255,3
2021-05-05,0.02774088685228022,5
2021-05-06,-0.033462691209332526,12
2021-05-07,0.027768519212953514,16
2021-05-10,-0.0451545588267604,27
2021-05-11,0.0362043390504703,26
2021-05-12,-0.0010360950519535499,39
2021-05-13,-0.02879413582241033,33
2021-05-14,0.021601690598932227,34
2021-05-17,0.005256960453954675,28
2021-05-18,0.02759258309296671,29
2021-05-19,-0.030394463913462684,18
2021-05-20,0.011932055273672887,17
2021-05-21,-0.0066228254799904586,12
2021-05-24,0.00047409793420242347,6
2021-05-25,0.0022980011435040143,4
2021-06-01,0.027616875650989116,2
2021-06-02,-0.021786863226326662,4
2021-06-03,0.0004975821938094441,4
2021-06-04,-0.03572482345998581,4
2021-06-07,0.027399295091413485,4
2021-06-08,-0.03630092882557759,2
2021-06-11,0.012335605341086553,1
2021-06-14,-0.004770631773150424,1
2021-06-15,0.009683959951196397,1
2021-06-16,0.0015194377178515462,1
2021-06-17,-0.015481136380753014,5
2021-06-18,-0.0033423525882340975,5
2021-06-21,-0.009133396514631124,8
2021-06-22,-0.012385207910910188,11
2021-06-23,0.02390339184818273,12
2021-06-24,0.01109007577356681,13
2021-06-25,-0.014590148601087937,15
2021-06-28,-0.00427412858040456,15
2021-06-29,-0.011532459922480386,15
2021-06-30,0.021113633723515667,15
2021-07-01,0.0055032780079893664,12
2021-07-02,-0.025472220354142816,15
2021-07-06,-0.021288057090068018,13
2021-07-07,-0.02452104022953949,11
2021-07-08,0.013179781900420072,12
2021-07-09,0.006309845319139165,12
2021-07-12,0.005837831734618323,12
2021-07-13,-0.017141725369005528,14
2021-07-14,-0.046628751106854556,13
2021-07-15,-0.005341941327979396,12
2021-07-16,-0.001618454945593792,12
2021-07-19,0.0011411458258889118,10
2021-07-20,0.01661767035474879,11
2021-07-21,0.0032126603348039554,18
2021-07-22,-0.029011211002706993,20
2021-07-23,-0.020631514305374188,18
2021-07-26,-0.007160131753924791,14
2021-07-27,-0.021578136330328047,10
2021-07-28,0.029096584308567333,6
2021-07-29,-0.014562228980395048,22
2021-07-30,-0.018178103979101894,27
2021-08-02,0.007663716902659091,29
2021-08-03,-0.008933829309021516,34
2021-08-04,-0.010442717806863993,33
2021-08-05,0.016971987392100388,15
2021-08-06,-0.005506107002708314,17
2021-08-09,0.007795844899573758,16
2021-08-10,-0.022766430602026058,13
2021-08-11,-0.011432736235079309,11
2021-08-12,0.024053807400034165,12
2021-08-13,-0.023113238835700538,5
2021-08-16,-0.062050806899665224,5
2021-08-17,0.03167672572067165,3
2021-08-18,0.01817537237342352,7
2021-08-19,-0.013806360822618258,5
2021-08-20,0.03290539944292472,5
2021-08-23,0.012533749160218967,4
2021-08-24,-0.015682627279439386,4
2021-09-01,-0.0016679853385547449,1
2021-09-02,-0.01793145903213199,3
2021-09-03,-0.025361838047345066,3
2021-09-07,0.02228119346646052,4
2021-09-08,-0.02877597321729255,5
2021-09-09,0.020848064204819695,4
2021-09-10,-0.003967645928906771,4
2021-09-13,0.0034869056781384753,5
2021-09-14,-0.019272211016563963,7
2021-09-15,-0.018622041899263565,10
2021-09-16,0.03650714392197219,14
2021-09-17,-0.012581819629983589,13
2021-09-20,-0.030550569424435483,13
2021-09-21,-0.005998670508405698,11
2021-09-22,-0.005040900574049955,9
2021-09-23,0.010884738271113716,5
2021-09-24,-0.018080589436252868,8
2021-09-27,0.019582811008700303,7
2021-09-28,-0.010741711786982364,7
2021-09-29,-0.031640680674602,5
2021-09-30,0.0004453812832395286,7
2021-10-01,-0.009948847565131345,7
2021-10-04,-0.006935808472182635,10
2021-10-05,-0.01546788673334772,11
2021-10-06,-0.015033490373722896,16
2021-10-07,-0.012154754493231092,16
2021-10-08,-0.0010952508192776439,15
2021-10-11,0.019394457208943918,16
2021-10-12,0.0022715840101750484,16
2021-10-13,0.019336012748495515,16
2021-10-14,0.00554622258621739,16
2021-10-15,-0.0038271100484928273,13
2021-10-18,-0.013432875643984502,10
2021-10-19,0.004851218570927694,9
2021-10-20,-0.013262190369961332,12
2021-10-21,-0.0003675331121558758,13
2021-10-22,-0.010776313510011215,23
2021-10-25,0.005210374879593415,26
2021-10-26,0.00022369737736145415,30
2021-10-27,-0.031615083606418286,23
2021-10-28,0.025483045601206296,20
2021-10-29,0.01961926184624823,14
2021-11-01,0.011590836014419568,11
2021-11-02,-0.014757752257291312,7
2021-11-03,0.02384998961856785,7
2021-11-04,-0.007961972353905411,11
2021-11-05,-0.020407401299352434,10
2021-11-08,-0.004102909513259086,9
2021-11-09,-0.004318977880991247,11
2021-11-10,-0.015682453205538852,12
2021-11-11,-0.0028372157260316945,10
2021-11-12,-0.019468480934039096,14
2021-11-15,-0.013604085186529582,15
2021-11-16,-0.0022104696156909237,17
2021-11-17,-0.013532053597134629,17
2021-11-18,-0.02215385262924896,17
2021-11-19,-0.008719518896530587,10
2021-11-22,-0.010847215907115345,9
2021-11-23,0.008604502386506037,4
2021-11-24,0.0694761228919075,2
2021-12-01,-0.021731230057273898,11
2021-12-02,0.018371538859318238,13
2021-12-03,-0.027464831344500517,19
2021-12-06,-9.69739274129156e-05,22
2021-12-07,0.04352330905500643,33
2021-12-08,0.003166335341677425,30
2021-12-09,-0.030921285232977627,37
2021-12-10,-0.019840977310685827,31
2021-12-13,-0.008903349340731607,30
2021-12-14,-0.011236838473476417,24
2021-12-15,0.03178922444001124,19
2021-12-16,-0.021850919022276743,16
2021-12-17,0.06598638164988872,20
2021-12-20,-0.007331717524155026,28
2021-12-21,0.022318082461384618,24
2021-12-22,-0.010636987167619334,25
2021-12-23,0.005921093184106839,21
2021-12-27,-0.021439266036485077,20
2021-12-28,-0.025506218149465833,11
2021-12-29,-0.016029104096068787,16
2021-12-30,0.02710062609748659,18
2021-12-31,0.01082493385273505,21
2022-01-03,0.035482484735943905,21
2022-01-04,-0.03590279175250709,24
2022-01-05,-0.047111028583159104,18
2022-01-06,-0.015170243995973854,12
2022-01-07,-0.012829478666371366,12
2022-01-10,-0.024558361636803305,12
2022-01-11,0.0163938300377321,21
2022-01-12,-0.03832501394903801,39
2022-01-13,-0.02688690103197285,43
2022-01-14,-0.004190753627530203,39
2022-01-18,-0.03909955554160144,42
2022-01-19,-0.006949109026878911,33
2022-01-20,-0.0012687174297961303,26
2022-01-21,-0.02200019717247086,32
2022-01-24,0.03251849425582262,33
