period,nf_U0,db_U0,nc_U0,nf_U1,nf_U2,db_U2,nc_U2,nf_U3,db_U3,nc_U3,db_U1,nc_U1
2013-09-30,2535,-0.019736353232516483,0.03414395413546591,41,826,0.0407282724688689,-0.0218332563977919,0,,,,
2013-12-31,2734,0.014300757411355803,0.01463177463237278,10,889,-0.014925209624802456,-0.008318725239856743,0,,,,
2014-03-31,2765,0.01049819199655036,-0.004147712658800984,52,898,0.01764744945070497,-0.02545660359798023,483,0.009588924816242891,,,
2014-06-30,2768,0.046273265989431836,0.020574858239962038,52,899,-0.0056770958855909956,-0.02805575081929454,494,-0.009223129743640151,-0.030016445352790754,,
2014-09-30,2777,0.013584712482750227,-0.005556411462727458,54,903,0.01911527114661401,-0.004192891862906188,505,-0.012533724591176354,,,
2014-12-31,2951,-0.015554392326751793,-0.004647954395980168,14,960,-0.0026684529392649453,-0.0031684863524585882,367,-0.01883608599055113,,,
2015-03-31,2936,0.08379819510839803,0.03653382881872104,42,955,-0.012112602378194295,0.04933589512127862,355,0.00998305497306104,,,
2015-06-30,2924,0.003221026361879188,0.0019146627355050181,54,950,-0.007834791199098454,0.054151911838025625,359,-0.017410360178819556,,,
2015-09-30,2961,0.02008023742212607,0.0397780403173615,56,961,-0.027420144344703273,-0.07120216119920843,472,-0.004287486264465526,0.008292976063564758,,
2015-12-31,3062,-0.05611214887318887,-0.022826237802279284,25,992,0.021024057892025133,0.06689962712614847,439,0.013894679026061937,,,
2016-03-31,3027,-0.03457059117470404,-0.02589745972123364,48,980,-0.004615722850355414,0.010824785704192957,404,0.014734220831827072,,,
2016-06-30,3052,-0.060849306596249736,0.005263258694003278,68,991,0.01174567596634827,0.05958234441872356,347,0.028683960744584694,,,
2016-09-30,3017,0.008518311940891407,-0.005192648774527159,68,981,-0.000812530733709918,-0.011450697632789983,370,0.0022956959499208784,0.009079618776977133,,
2016-12-31,3148,-0.021375765097132366,-0.005115237929117805,35,1020,-0.0010340368585502755,-0.0074759133509201235,510,-0.01157056139040405,-0.005690187978660055,,
2017-03-31,3149,0.026425039313090086,0.00870881413786221,61,1024,0.01053757471657752,0.010076794335637126,553,-0.0072096181616366425,0.030384200894174665,,
2017-06-30,3196,-0.010478685891343709,0.019499450042098826,69,1038,0.02764380252846449,0.013247439679897346,643,0.05621693424020348,0.029964317589964193,,
2017-09-30,3158,0.011427818849741644,0.029047092261359042,61,1027,0.007938395616069807,0.01938261611074784,679,0.022946825870662046,0.02519349193031383,,
2017-12-31,3406,-0.04030246652736155,-0.002002517655279399,24,1106,0.009195926616943753,0.0003369051245671606,623,0.017951762571087326,0.02700461735564996,,
2018-03-31,3475,0.00952732224739971,0.01438251119397086,72,1127,0.017924003552671486,-0.023220803254548665,583,0.015987798226458433,-0.005676868554278486,,
2018-06-30,3490,-0.028486352718770425,0.0012612398187283047,69,1136,-0.005077426222847459,-0.03418231708976392,557,-0.025577293673691825,-0.060223873098714596,,
2018-09-30,3512,-0.0044457709409689156,0.015668046409975198,70,1143,0.013199550930275833,-0.014746024183576692,616,0.011221575502822087,0.008733851529467485,,
2018-12-31,3762,0.03802491538393224,0.03773950229829287,20,1222,0.020121008243594824,-0.011943065122328402,512,0.0006246607050952903,-0.026991537197379952,,
2019-03-31,3784,0.05862289778553599,-0.007799485169469657,65,1233,-0.0009258416428998313,0.008295455304456554,415,-0.005536058707445145,0.027310596784599246,,
2019-06-30,3771,-0.05721961936498211,-0.0006288186770830387,81,1227,-0.027046359742001667,-0.0056815847326576255,479,-0.012223681640528353,0.02719214595332816,-0.013839932640557454,0.0034717137291492353
2019-09-30,3743,0.008435223314590734,0.02069500508369483,77,1216,0.017344182336286623,0.04971557379956072,486,0.010130419614567482,,,
2019-12-31,4037,-0.04576957084574737,0.0015673245355102838,21,1314,0.054108234713174226,0.05144095515212371,465,0.005126512821958758,,,
2020-03-31,4027,0.025595795399701027,-0.037166143193850615,56,1313,0.060731763781988995,0.012121890012679798,659,0.011984870217962379,0.029000515463642573,,
2020-06-30,4105,-0.054641632289872386,-0.055707853672429655,78,1335,0.01629089793672281,-0.03043378180294941,353,0.055676327396084524,,,
2020-09-30,4142,-0.1365967424706795,-0.07358547577897845,70,1349,0.06661888909252017,0.04708756296341898,625,0.08202005793255954,0.05724029735343311,,
2020-12-31,4483,-0.017099137823416675,0.07736475678308966,20,1463,-0.06131318798283106,0.005513275774176471,682,-0.04574064872716331,-0.0447727270807555,,
2021-03-31,4562,0.0355077248457552,-0.006507419833297626,81,1493,-0.02428627337199126,-0.08897763483068477,779,-0.028867671632562486,-0.0663507541384874,0.020021734800134784,-0.024988913328166815
2021-06-30,4653,-0.01362622327577108,-0.00564253982791417,87,1522,0.010860434248366344,0.022156532437631736,990,0.00857178210946255,-0.008383225850934192,-0.029916086520158203,0.020389023563734412
2021-09-30,4673,-0.038060002304891816,0.10593243935567326,82,1532,-0.11572545806279765,-0.014724679484284575,1034,-0.10268375187678117,0.027128777684341215,0.07918446115620235,0.09229921767569661
2021-12-31,5175,0.06455269670600351,0.05128825246140088,41,1693,0.004864987279834004,0.00815589047130695,956,-0.01637702822220162,-0.01639894194025461,,
2022-03-31,5253,-0.05041368586124309,0.01697180689932437,93,1723,-0.048838869672593946,0.014539943643566602,681,-0.02119077968836032,0.010642086678072024,-0.008435653530055862,-0.001695095787957901
2022-06-30,5215,0.005287311466047544,0.011857656669847796,74,1710,-0.028710823392097615,0.025163201966555655,476,-0.02781932830751669,-0.046226411075978545,,
2022-09-30,5165,-0.09797070217307485,-0.024358656412949167,87,1695,-0.059714917801798426,-0.022940931722407257,464,-0.01969503773547515,-0.004704938360640197,-0.07161657378260593,-0.019180995516748095
2022-12-31,5341,0.015541714219090168,0.042059339306376876,102,1663,0.006095601037476663,-0.01085380600889459,516,-0.03187783599087263,,-0.005372458897130068,0.05076227404964209
2023-03-31,5351,-0.006309482234283632,-0.0004497902916584112,96,1661,-0.006111020543433231,0.012394152873894643,603,0.01197065678564814,0.011606007403476677,0.018593622535447923,-0.03379428260121066
2023-06-30,5356,0.04768292868514979,0.0207623660285325,101,1664,0.022824335855240085,0.031184845166940863,660,-0.03236269500371081,-0.011329343395004425,0.04944302760890047,0.00040691262855867966
2023-09-30,5326,-0.05131919063313933,0.019431159764569883,112,1652,0.015937468026945067,-0.015592414231922383,811,0.039861868539404585,-0.026481670411410058,-0.08935816272344803,-0.029905260901114908
2023-12-31,5594,-8.834004637744974e-05,0.021067331513247037,58,1734,0.0021326849924026003,0.007248658471020013,750,-0.009941253367934062,0.007054890300743286,,
2024-03-31,5711,0.0276651100399008,0.016995456694599488,117,1776,0.00010454067666734908,0.015471451632119099,794,-0.011689733820766185,-0.0002502522068322799,-0.0001983137683635467,0.009982341808626687
2024-06-30,5747,0.051264799240430134,-0.005021609741398342,112,1787,0.020829818684047825,0.026257259148387252,822,0.02200482064018363,0.05031963807194177,0.014473063499353796,-0.014273010136922032
2024-09-30,5773,-0.07286813529111641,0.0030620932972713205,121,1801,-0.002233222570188452,0.016993468093304667,694,0.0016905067596288473,0.025049946375719476,-0.09838966208921661,-0.027586405174448367
2024-12-31,6226,0.07863769165794579,0.02981521914924471,63,1938,0.035644149245013745,-0.0036795286826665427,983,-0.01471445220815136,-0.010773607115328558,,
2025-03-31,6309,-0.06391094478755406,0.06328341051654554,122,1965,-0.05282514616291986,0.04464827579576037,766,-0.0016163650398279134,0.044057207622527204,-0.07071918303583904,-0.0031376433721010955
2025-06-30,6308,-0.05646323037897975,0.021109134300179976,142,1968,-0.0293796418057301,-0.015100045094234214,733,-0.00797666505935693,0.0377741358987438,-0.10035681823699309,-0.01087505675970374
2025-09-30,6255,0.013233850751638063,-0.046918539925168194,112,1951,-0.01537203635959622,-0.04217314029441257,974,-0.018357524729005453,-0.03170970106949803,0.004297538112303809,-0.08257117761147639
