period,is_q4,n_losers,n_mgrs,d_press,d_rev,pl_press,pl_rev
2015-03-31,False,280,139,-0.0065447126151653035,-0.00728986072927403,0.008177997329699168,-0.015204183587674287
2015-06-30,False,254,238,-0.0016549734225992686,-0.005833582275160553,0.00420619283607288,-0.012445481194116828
2015-09-30,False,639,318,0.006440505748195289,-0.026667548299963845,0.01806516484391996,-0.030260053902202
2015-12-31,True,313,373,-0.027377736449032547,0.00888368261438563,-0.024372925551487158,0.012653469112230625
2016-03-31,False,489,414,0.012635994273106483,-0.026952150481709323,0.004495815885190301,-0.02020163419473285
2016-06-30,False,303,483,0.007060525295988879,-0.004392756058148689,-0.0047700075918726235,-0.0056606764220864325
2016-09-30,False,208,525,0.0018039517898020222,0.004078561247421796,-0.014476149803965575,-0.0015027509696702432
2016-12-31,True,354,516,-0.014257170281766875,-0.021625013681476228,-0.02010072212789645,-0.023929739301709038
2017-03-31,False,263,577,-0.01589819114969046,0.006837534319300748,-0.024848068530789878,0.01301051388786879
2017-06-30,False,368,580,-0.03448271234304445,0.009561682206925295,-0.02963317687991877,-0.003772342927573195
2017-09-30,False,319,593,0.03283826663324253,-0.02004532225953531,0.03708295913571925,-0.0203722992934098
2017-12-31,True,359,606,0.0013940275286048603,-0.01488040328182625,0.00012766619412397234,-0.0187313800504368
2018-03-31,False,401,582,0.0246302940861804,0.018887674756686686,0.02614430201344855,0.01437717011031492
2018-06-30,False,246,634,-0.018509736095620646,-0.016399867010938856,-0.018123192580379737,-0.021265318439303425
2018-09-30,False,392,655,-0.03371709431405435,-0.005621966892202565,-0.0438179286723666,0.011670164436056675
2018-12-31,True,1349,680,0.025742277530533778,-0.026285486252788683,0.0193435975393495,-0.02240938783135915
2019-03-31,False,107,691,0.004660694737480348,-0.014679154917985977,-0.005761366749179779,-0.007701280761723898
2019-06-30,False,603,688,0.028823397236795476,-0.0015368249489713113,0.015038785795112461,0.0036480695097601034
2019-09-30,False,459,697,0.034866733806836386,0.01330922639500506,0.0286510529391882,0.005762313035268898
2019-12-31,True,332,767,0.002224321457829269,-0.026773792377193014,-0.0013850437597198954,-0.035848598519229974
2020-03-31,False,1946,708,0.00555675695153905,0.002904335816983046,0.0012322489206385984,-0.0024223289139875073
2020-09-30,False,400,720,-0.014993266822036496,0.0261732263783876,-0.004900053722000799,0.023725458548124502
2020-12-31,True,133,768,-0.05583523777761036,-0.042150972339300166,-0.031218284020220914,-0.05946154320612061
2021-03-31,False,176,691,-0.009809301376369445,0.008346626998378967,-0.011308065599093278,0.014193919002746191
2021-06-30,False,418,709,0.01400998459837315,0.0021774520810570633,0.020445382221954765,-0.003112296358017454
2021-09-30,False,879,709,0.00525089973640229,0.011804850995415964,0.011340080542313547,0.011797045725883805
2021-12-31,True,1050,791,0.038284842639563936,-0.004159154540247674,0.022410571348828137,0.0009685269906731563
2022-03-31,False,1325,785,-0.02228556232965368,0.006412672391758447,-0.015606894483925451,0.009672769648784194
2022-06-30,False,1984,895,0.0033513737359809528,-0.006329786440585795,0.005312751892041451,0.002965016058539877
2022-09-30,False,559,943,0.020497016781672196,0.018927139141119948,0.015882246737809046,0.019468031942074138
2022-12-31,True,653,998,0.03553322447110899,-0.05293887214262248,0.043752676879105466,-0.05949079301724108
2023-03-31,False,844,957,0.00879489687356423,0.0140866327488622,-0.008076291087824114,0.021934811916935238
2023-06-30,False,541,1032,0.004630985736928727,0.007338183016060367,0.0219436906726187,-0.011322727154721175
2023-09-30,False,1004,1083,0.017078464251752842,0.011923141574943182,0.010136172617762644,0.0036855052247420023
2023-12-31,True,531,1143,-0.000608259711432857,-0.0001897232301019229,-0.010357140598124023,-0.010841865056313824
2024-03-31,False,935,1124,0.029825423683365358,0.01400373742471759,0.02803585872423412,0.007217153111353515
2024-06-30,False,1148,1197,0.04376755048962605,-0.0005037086573714284,0.031550040508876366,0.0006913082482621711
2024-09-30,False,760,1245,0.008763030707529769,0.010503672555944088,-0.014627889010215892,0.01155791223418209
2024-12-31,True,877,1265,-0.05099355864455576,0.00044500169346757676,-0.04418570081890957,0.010264291143583501
2025-03-31,False,1296,1317,0.03474020653141168,0.008667519326144605,0.03396281948056019,0.003367982628100289
2025-06-30,False,559,1390,0.0043263140549555336,0.0078093740898303905,0.005035660476232855,-0.005975321899575901
2025-09-30,False,586,1406,-0.006357530630097374,-0.047185807515571006,-0.016301868319973847,-0.027800150085973876
2025-12-31,True,1009,1415,0.08675893813958403,-0.030527659776990672,0.07338528092951613,-0.01959461766137762
2026-03-31,False,1077,1465,0.02975266990465956,-0.03730523472906219,0.015149035806239164,-0.03224128095489202
